"ECB_02512"	"ECB_02798"	"ECB_02804"	"ECB_02821"	"ESCRE1901"	"IS3_insF"	"IS5_ESec3"	"actP"	"cls"	"crp"	"cysQ"	"eutJ"	"fbp"	"fis"	"glgC"	"glgP"	"glmM"	"glmS"	"glpE"	"glpF"	"glpR"	"glpT"	"hupB"	"hycE"	"hypE"	"iclR"	"ilvE"	"infB"	"ispH"	"kpsD"	"kpsE"	"kpsM"	"lptB"	"metA"	"metH"	"metW"	"mraZ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nagD"	"nrdR"	"nusA"	"ompR"	"pitB"	"ppiA"	"puuP"	"rep"	"rho"	"rhsA"	"rnc"	"rpoB"	"rpoC"	"rpoD"	"rssB"	"secF"	"speB"	"tldD"	"torS"	"truB"	"uspA"	"wzyE"	"ybaL"	"ybbN"	"ybfA"	"ydaE"	"yehU"	"yjhA"	"ynjA"	"zraR"
"rssB"	-0.212350903255929	0	0	-0.0234945626733093	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0127459146192827	0	0	0	0.0138679470663316	-0.0140490930708816	0	0.0246725066727197	0	0	0	-0.00525206150074925	0	0	0	0	-0.151364526418439	0	0	-0.0149334769413314	0	0.0875255468288536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0831806247315976	1	0	0	0	0.0373907443086485	0	0	0	0	0	0	0	0	0	0	0
"secF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000323757058332872	0	0	0	0	0	0	0	0	0	0	0	-0.0926834731058751	0	0	0	0	0.0462449710351389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159263776233887	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"speB"	0.0750534648656607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177344765013853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038407371865121	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"tldD"	0.108303315073434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.148411758463156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"torS"	-0.168695322389373	0	0	-0.021153829603041	0	0	0	0	0	0	0	0	0	0.00345546170022333	0	0	0	-0.0144670378756266	0	0	0	0	-0.0152558185846451	0	0	0.0526526537866326	0	0	0	-0.0119260348612106	0	0	0	-0.108647375158275	0	0	-0.0155449471887475	0	0.0301938700992723	0	0.00226570644196067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0373907443086485	0	0	0	1	0	-0.00855998504578727	0	0	0	-0.012018469173069	0	0	0	0	0
"truB"	-0.0989692548263904	0	0	0	0	0	0	0	0	0	0	0	0	0.00126697721830106	-0.00585951245541212	0	0.0395716584987258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148245671588311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0316374298773049	0	0	-0.117777153207759	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"uspA"	0.249918358390109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393006183464678	0	0	0	0	-0.0306088316262541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00855998504578727	0	1	0	0	0	0	0	0	0	0	0
"wzyE"	0	0	0	0	0	0	0	0	0	-0.0152565512029886	0	0	0	0	0	0	0	0	0	0	0	-0.0381974187719073	0	0	0	0	0.0670814768999257	0	0	0	0	0	0	-0.146911893495569	0	0	0	0	0	0	0	0	0	0	0	0	-0.0154671878141411	0	0	0	0	0	0	0	0	-0.0972478820722605	0	0	0	0	0	0	0	1	0	-0.0141300718905747	0	0	0	0	0	0
"ybaL"	-0.0841865693424745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206709130253633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0754629189502306	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"ybbN"	-0.0910778987527251	0	0	0	0	0	0	0	0	0.0548005453981209	0	0	-0.00972362851582131	0	-0.0141947908329425	0	0	0	0	0	0	0.0470726977620472	0	0	0	0	-0.0157115299825182	0	0	0	0	0	0	0.171125566275044	0	0	0	0	0	0	0	0	0	0	0	0	0.0631945387697876	-0.00227052516364212	0	0	0	0	0	0	0	0.0378427614990246	0	0	0	0	0	0	0	-0.0141300718905747	0	1	0	0	0	0	0	0
"ybfA"	0.182786535446569	0	0	0	0	0	0	0	0	0	0	0	0	-0.0216907777423836	0	0	0	0	0	0	0	0	0	0	0	-0.014586507926818	0	-0.00571506379961563	0	0.0125591398147698	0	0	0	0.0147753342623698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0846925942892778	0	0	0	0	-0.012018469173069	0	0	0	0	0	1	0	0	-0.00135124563873918	0	0
"ydaE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0049844976311608	0	0	0	0	0	0	0	0	0	0	0	-0.0977002806735167	0	0.00116404829894151	0	0	0.0499656654684142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164653749106061	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"yehU"	0.048810440509141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0205292776511742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0655363764348735	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"yjhA"	-0.199435075501595	0	0	0	0	0	0	0	0	0	0	0	0	0.0455571636273655	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0315225120822576	0	-0.00113571045717364	0	0	0	0.00696819806159393	0	0	0	0	0	0	0	0.0249688704883889	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0496529161161721	0	0	0	0	0	0	0	0	0	0	-0.00135124563873918	0	0	1	0	0
"ynjA"	0.109464908143004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.150056542861578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"zraR"	0.0543782657328582	0	0	0	0	0	0	0	0	0	0.00111838259123288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00816915961581913	0	0	0	0	0.15057678998526	0	0	0	0	-0.0522507238328269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0986457330291887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
