"ECB_00212"	"ECB_00256"	"ECB_00376"	"ECB_00825"	"ECB_01252"	"ECB_01992"	"ECB_02008"	"ECB_02035"	"ESCRE1901"	"ESCRE3628"	"IS3_insF"	"actP"	"araE"	"aspA"	"atoC"	"atpG"	"azoR"	"cbpA"	"clpB"	"cls"	"dapA"	"deoA"	"dusB"	"efeO"	"fbp"	"flhA"	"fruK"	"glgC"	"glgP"	"glmS"	"glpF"	"glpR"	"glpT"	"gltB"	"gor"	"gspG"	"gyrB"	"hsdR"	"hupB"	"iclR"	"ilvL"	"kpsD"	"kpsE"	"metJ"	"mrdA"	"mreB"	"mreD"	"napA"	"nusA"	"ompR"	"pdhR"	"pta"	"pyrB"	"rho"	"rne"	"rplF"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpsC"	"sdaC"	"secF"	"slyA"	"thiI"	"treF"	"ubiB"	"uspA"	"uxaA"	"wbbD"	"ybaL"	"ybeA"	"ybhI"	"ycjP"	"ydcN"	"yecP"	"yehU"	"yejM"	"yfcI"	"yfgA"	"ygaD"	"yggG"	"ygjF"	"yhhF"	"yjcO"
"rplF"	0	0	0	0.0359306811224922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00336399011027741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0145855369195862	0	0.0127623744649236	0	0	0.20037910465121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0117522885898557	1	0	0.0862344443546962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0396325363733526	0	0	0	0	-0.0219082600254157	0	0	0	0	0	0	0	0	0	0	0	1	-0.0712613087194309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	0.146932511540027	0.0431005576254909	0	0.0845111425176037	0.0340425784366282	-0.26095995168044	0	0.0331194208486258	0.0246565955146019	0.113493962306616	0.0162637757523322	0	0	-0.112686223897945	-0.122057250480553	-0.119485265726549	0.110349835272544	-0.128115043028126	-0.178182893559462	0.0285865151161518	0.151463952111075	0.101162798613586	0	1.05993835701152e-05	0.0102871533926787	0	-0.205686855366412	0	0.0792041975946472	0.154693878837594	-0.0853309632631262	0	-0.198184148006172	0.108302450643588	0.087232793686669	-0.114649423507773	0.0860872154988294	0.109148136456652	-0.217896859985173	-0.0270824016744247	-0.150353227113012	0.10486230118225	-0.17209717625598	0.110529467486865	0	0.0216849707060053	-0.200916234894795	-0.162909616658197	0.0131448640679758	0.0157683720265582	-0.173299188331725	0.109430976266179	0.157485993116242	0.0865994889957005	0.0843542872097525	0.0862344443546962	-0.0712613087194309	1	-0.0457345743095489	-0.116751951334877	0.0383389562113262	0.107158869754367	-0.157695626038943	0.0072752751626753	0.0101400757356198	0.10825042550674	0.15751328832378	-0.0859239022493171	0.144806525545675	0.104928457921407	0.0111190089329694	-0.116523948952594	-0.0786215929443216	-0.111749763281638	-0.0891693039829807	0.114065617626907	-0.201713881688751	0	0	0	-0.088333030360434	0	0.15522925719184	-0.16232537241793	0
"rpoD"	0	0	0	0	0	0	0	0	0.195165043910067	0.105895038467253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168734692445093	0	0	0	-0.0932648873963099	0	0	0	0	0	0	0	0	0	0	0.02716682404284	0	0	0	0	-0.0109655464045403	0.144014974650067	0	0	0	0	0	0	0	0	0	0	0	-0.0457345743095489	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100710362676685	0	0	0	0	0	0	0	0	0
"rpoH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0915365068816038	0	0	0	0	0.104435754488526	0	0	0	0	0	0	0	0	0	0	0	0	-0.116751951334877	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpsC"	0	0.00206592891605752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.101640375744846	0	0	0	0	0.153533190538114	0	0	0	0	0	0	0	0	0	0	0	0	0.0383389562113262	0	0	1	0	0	-0.00873717135872395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sdaC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154651471870638	0	0	0	0	0	0	0	0	0	0	0	0	0.107158869754367	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"secF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0488481102753596	0	0	0	0	-0.0488062015546841	0	0	0	0	0	0	0	0	0	0	0	0	-0.157695626038943	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"slyA"	0	-0.0190581807765238	0	0	-0.0019263010640637	0	0	0	0	0	0	0	0.0105549220921008	0	-6.66693076915007e-08	0	0.0149531774486267	-0.0019452300979535	0	0	0	0	0	0.00904555145960314	0	0	0	0	0	0	0	0	0	0.0119080500552707	0	0	0	0	0	0.0927897875870118	0	0	0	0	-0.204414248972203	0	0	0	0	0.0360988567574183	0	0.0144714251707598	0	0	0	0	0	0.0072752751626753	0	0	-0.00873717135872395	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.00563292899446176	0	0	0	0	0	-0.00652603514940565	0	0	0	0
"thiI"	0	0	0	0	0	0	0	0	0	0	0	0	0.0238800194483378	0	0	0	0	0	0	0	0	0	0	0.0224770732145576	0	0	0	-0.00700766235926115	0	0	0	0	0	0	0	0	0	0	0	-0.0561034011085467	0	0	0	0	-0.196008324508583	0	0	0	0	0	0	0	0	0	0	0	0	0.0101400757356198	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"treF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158113763166718	0	0	0	0	0	0	0	0	0	0	0	0	0.10825042550674	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ubiB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.118071625392118	0	0	0	0	0.00971914179514582	0	0	0	0	0	0	0	0	0	0	0	0	0.15751328832378	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"uspA"	0	0	0	0	0	0	0	0	0	0	0	0	-0.00622944989845645	0	0	0	0	0	0	0	0	0	0	-0.00501198986000966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0151915830305666	0	0	0	0	0.174767755954767	0	0	0	0	0	0	0	0	0	0	0	0	-0.0859239022493171	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"uxaA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0181460060533044	0	0	0	0	-0.121440692022338	0	0	0	0	0	0	0	0	0	0	0	0	0.144806525545675	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"wbbD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154959253471179	0	0	0	0	0	0	0	0	0	0	0	0	0.104928457921407	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0217283977141454	0	0	0	0	0.0276793241977939	0	0	0	0	0	0	0	0	0	0	0	0	0.0111190089329694	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybeA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0100610201861455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148589279861844	0	0	0	0	0.0764517139185985	0	0	0	0	0	0	0	0	0	0	0	0	-0.116523948952594	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybhI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0055638042688904	0	0	0	0	-0.111161951885169	0.0330947921984552	0	0	0	0	0	0	0	0	0	0	0	-0.0786215929443216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ycjP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00494736961449503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142946589629127	0	0	0	0	0.0736060397619203	0	0	0	0	0	0	0	0	0	0	0	0	-0.111749763281638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"ydcN"	0	0	0	0	0	0	0	0	0	0	0	0	-0.0146965565658011	0	0	0	0	0	0	0	0	0	0	-0.0137752414190484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0160168149889816	0	0	0	0	0.184150988544588	0	0	0	0	0	0	0	0	0	0	0	0	-0.0891693039829807	0	0	0	0	0	-0.00563292899446176	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00848387622139909	0	0	0	0
"yecP"	0	0	0	0	0	0	0	0	0.0749624450800357	0.0632919882232338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0806449885293146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0424722803858831	0	0	0	0	0.00985278684133114	0.0386765319003066	0	0	0	0	0	0	0	0	0	0	0	0.114065617626907	0.100710362676685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"yehU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.101814391918125	0	0	0	0	0.0390502362248782	0	0	0	0	0	0	0	0	0	0	0	0	-0.201713881688751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"yejM"	0	0	0.00102315364167496	0	0	0	0.00494751420639376	0	0	0	0	0	-0.013786005539386	0	0	0	0	0	0	0	0	0	0	-0.0121042421232092	0	0	0	0.0121529102666141	0	0	0	0	0	0	0	0	0	0	0	0.131046765652366	0	0	0	0	0.150873249932667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"yfcI"	0	0	0	0	0	0	0	0	0.0360807900210491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.124487269866037	0	0	0	0	-0.10693338109977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.00853108309878772	0	0	0
"yfgA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.181865366733205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"ygaD"	0	0	0	0	0	0	0	0	0	0	0	0	-0.0154618093319422	0	0	0	0	0	0	0	0	0	0	-0.0145499807769212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0157982859116361	0	0	0	0	0.18502746976986	0	0	0	0	0	0	0	0	0	0	0	0	-0.088333030360434	0	0	0	0	0	-0.00652603514940565	0	0	0	0	0	0	0	0	0	0	0.00848387622139909	0	0	0	0	0	1	0	0	0	0
"yggG"	0	0	0	0	0	0	0	0	0.0216364260783633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.116791367150501	0	0	0	0	-0.100123670924948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00853108309878772	0	0	1	0	0	0
"ygjF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.116419029636776	0	0	0	0	0.0091770765412867	0	0	0	0	0	0	0	0	0	0	0	0	0.15522925719184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"yhhF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0499608626361845	0	0	0	0	-0.0519123727413635	0	0	0	0	0	0	0	0	0	0	0	0	-0.16232537241793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"yjcO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.19451233393323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
