"ECB_00256"	"ECB_00376"	"ECB_00825"	"ECB_01252"	"ECB_01992"	"ECB_02002"	"ECB_02008"	"ECB_02035"	"ECB_misc_RNA_7"	"ESCRE1901"	"cls"	"crp"	"dapA"	"deoA"	"dnaA"	"ebgA"	"eutJ"	"fbp"	"glgC"	"glgP"	"glmS"	"glpK"	"glpR"	"glpT"	"gor"	"gyrB"	"hsdR"	"hslU"	"hupB"	"hycE"	"iclR"	"infB"	"kpsD"	"kpsE"	"lptB"	"metJ"	"mrdA"	"mreB"	"mreC"	"nusA"	"pitB"	"proQ"	"pyrB"	"rho"	"rhsA"	"rmlB"	"rne"	"rplF"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rpsC"	"rpsR"	"rssB"	"rtn"	"sdaC"	"secF"	"torS"	"treF"	"ubiB"	"uspA"	"wbbD"	"wzyE"	"ybaL"	"ybbN"	"ybhI"	"ybhJ"	"ycbC"	"ydeH"	"yehU"	"yejM"	"yfcI"	"yfgA"	"yggG"	"ygjF"	"yjcR"	"yjhC"	"ylaB"
"torS"	-0.00154380789369443	0	0	0	0.0422023116957716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.185032666803776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0125276566050579	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0975325278550773	0	0	0	0	0.0231816455644561	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"treF"	0	0	0	0	0.0643672848197947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0909106597196096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0449454607755479	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141397181903852	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ubiB"	0	0	0	0	-0.0822697526672218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106072368848678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111232454198002	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"uspA"	0	0	0	0	-0.230576200182365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0252982043801057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0113792746152937	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0912459648627096	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"wbbD"	0	0	0	0	0.0612841725839748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0859536483235026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0418337860495471	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138049150696934	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"wzyE"	0	0	0	0	0.154953184643194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0813948801826368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0216323651862786	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00884812086242225	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybaL"	0	0	0	0	-0.147315757071317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.014439647214921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0480098866854145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybbN"	0	0	0	0	-0.0125776543704687	0	0	0	0	0	0	0.153846386950661	0	0	0	0	0	0	0	-0.0235190920348734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12099107709571	0	0	0	0	0	0	0	0	0.0699504283460512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybhI"	0	0	0	0	0.146592647175112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0194155737057644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.14607067129522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ybhJ"	0	0	0	0	0.152107747086616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0800725186059873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0196777753993562	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00884642339122412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"ycbC"	-0.0150407757236407	0	0	0	0.163403724290991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0149440813581649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117546252957301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"ydeH"	0	0	0	0	8.61777643899312e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.131700796406052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167291657783381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"yehU"	0	0	0	0	-0.0667134457415942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164961012572394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0702851479064576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"yejM"	-0.0162095763547811	0	0	0	0.126417826544999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.142812277482691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"yfcI"	0	0	0	0	-0.0492831751805819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0530663778166938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.223246986746134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"yfgA"	0	0	0	0	-0.0598908107023659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0810111694106196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0422226647548643	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.163177522029391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"yggG"	0	0	0	0	-0.0469428121921063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0494242629847577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.209573310682234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"ygjF"	0	0	0	0	-0.0804639066256516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103013092960962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109661200487954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"yjcR"	0	0	0	0	-0.0644360485616146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0887929185465951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0493691395154799	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.18258970119359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"yjhC"	0	0	0	0	-0.0613485995052175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0835853142143168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0444148270086303	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.168731569738236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ylaB"	0	0	0	0	0.00205301268921913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.148078741464562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179627460545864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
