"ECB_00737"	"ECB_00825"	"ECB_01992"	"ECB_02821"	"ECB_04210"	"ESCRE1901"	"ESCRE3628"	"ESCRE4497"	"argA"	"atpC"	"azoR"	"cls"	"crp"	"dapA"	"dnaA"	"fbp"	"fcl"	"fis"	"glgP"	"glmS"	"glpF"	"glpT"	"gltB"	"gor"	"gyrB"	"hupB"	"iclR"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"lon"	"manZ"	"mraY"	"mraZ"	"mrdA"	"mreB"	"mreD"	"nusA"	"pgaB"	"ppiA"	"pta"	"rho"	"rne"	"rplF"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rsmC"	"rssB"	"slyA"	"uidB"	"uspA"	"yahA"	"ybaL"	"ybhI"	"ydcN"	"yecP"	"yedW"	"yfcD"	"yfeY"	"yfgA"	"yfiB"	"ygaD"	"ygfK"	"yjcR"	"yjhA"	"yjhC"	"ykgG"	"ylbH"	"yraL"
"yfcD"	0	0	0	0.0482595946053104	0	0	0	0	0	0	0	0	0	0	0.129957514880351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.119707996720588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"yfeY"	0	0	0	0.0524742513192166	0	0	0	0	0	0	0	0	0	0	0.144378623875236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.125793128961754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"yfgA"	0	0	0	-0.114589357775791	0	0	0	0	0	0	0	0	0	0	0.116875554124329	0	0	0	0	0	0	-0.046336275712759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"yfiB"	0	0	0	0.135750104268096	0	0	0	0	0	0	0	0	0	0	0.0296293390908916	0	0	0	0	0	0	-0.0872180694227768	0	0	0	0	0	0	0	-0.0448931841648549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"ygaD"	0	0	0	0.0283248306025406	0	0	0	0	0	0	0	0	0	0	0.0001302637944586	0	0	0	0	0	0	0.179045191987203	0	0	0	0	0	0	0	-0.13098892072036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0087632830138275	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"ygfK"	0	0	0	0.042816742321005	0	0	0	0	0	0	0	0	0	0	0.116352200632648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.109380406456488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"yjcR"	0	0	0	-0.122991315812477	0	0	0	0	0	0	0	0	0	0	0.13106876755334	0	0	0	0	0	0	-0.0477218830510193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"yjhA"	0	0	0	-0.0554713273506763	0	0	0	0	0	0	0	0	0	0	0.00928594038486974	0	0	0	0	0	0	-0.184057813298834	0	0	0	0	0	0	0	0.0715521559285183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"yjhC"	0	0	0	-0.117007828303279	0	0	0	0	0	0	0	0	0	0	0.12018277148581	0	0	0	0	0	0	-0.0469380299474953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ykgG"	0	-0.00963498993629672	0	0	0	0	0	0	0	0	0	0	0	0	-0.103739869030512	0	0	0	0	0	0	0.199305773537033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0055209545033425
"ylbH"	0	0	0	-0.0588680349171335	0	0	0	0	0	0	0	0	0	0	0.114640797694068	0	0	0	0	0	0	0.110037629595445	0	0	0	0	0	0	0	-0.0468613863728938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"yraL"	0	-0.00760732552650103	0	0	0	0	0	0	0	0	0	0	0	0	-0.102735114636121	0	0	0	0	0	0	0.198567850526047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0055209545033425	0	1
