"ECB_00376"	"ECB_01992"	"ECB_02003"	"ECB_02008"	"ESCRE1901"	"ESCRE2157"	"IS3_insF"	"atoC"	"atpE"	"atpF"	"bglJ"	"cls"	"crp"	"dacA"	"dnaA"	"dppD"	"dusB"	"ebgA"	"endA"	"fbp"	"frmB"	"fruK"	"fusA"	"glgA"	"glgC"	"glgP"	"glpF"	"glpR"	"glpT"	"gltL"	"gspF"	"hupB"	"iclR"	"ilvL"	"kpsD"	"kpsE"	"lysP"	"malQ"	"manZ"	"mdoG"	"metA"	"metH"	"metJ"	"mrdA"	"mreB"	"mreC"	"napA"	"nusA"	"ompR"	"orn"	"oxyR"	"pck"	"pmbA"	"rhlB"	"rho"	"rluB"	"rpoB"	"rpoC"	"rpoD"	"rpoS"	"rrlB"	"rssB"	"sbcC"	"secF"	"speB"	"tap"	"tig"	"uspA"	"yahA"	"yahG"	"ybaL"	"ydbD"	"ydcN"	"ydcU"	"ydgR"	"ydiJ"	"yehU"	"yejA"	"yejM"	"yfcD"	"yfeY"	"ygaD"	"ygcN"	"ygfK"	"yhhF"	"yicC"	"yjcC"	"yjcF"	"yjeP"	"yjgN"	"ynjI"	"yraL"
"oxyR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0916316764691704	0	0	0	0	-0.173571936119086	0	0	0	0	0	0	0	0	0	0	-0.053404935257204	0	0	0	0	0	0	0.00561199345792699	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01354825744349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pck"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.153531602932113	0	0	0	0	0.0721927527744716	0	0	0	0	0	0	0	0	0	0	0.0817612051728968	0	0	0	0.00171339370273361	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.00317255758079172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pmbA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.104534692628913	0	0	0	0	0.138170731130152	0	0	0	0	0	0	0	0	0	0	-0.0284507247192359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rhlB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.117660308332479	0	0	0	0	0.0207568130800187	0	0	0	0	0	0	0	0	0	0	-0.166425027570315	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00157852563594826	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000464522649504089	0	0	0	0	0	0	0	0	0	0	-0.0168628782697434	0	-0.0072768399755757	0	0	0	0
"rho"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0327026216261118	0	0	0	0	-0.0412437643121011	0	0	0	0	0	0	0	0	0	0	-0.0725327479222827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rluB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061359308038953	0	0	0	0	0.00855885732170807	0	0	0	0	0	0	0	0	0	0	-0.203515515307939	0	0	0	0	-0.0078495429238601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0145611872965325	0	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000452655922168281	0	0	0	0	-0.0166427369926755	0	0	0	0	0	0	0	0	0	0	0.0123393446662384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0937088526741852	0	0	0	0	0.211992055961136	0	0	0	0	0	0	0	0	0	0	0.0294392321776627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011172272325146	0	0	0	0	0.148707597437654	0	0	0	0	0	0	0	0	0	0	0.128697636905961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.113562373823842	0	0	0	0	0.143512164598322	0	0	0	0	0	0	0	0	0	-0.00486198048329542	-0.049669269529242	0.00185345984796715	0	0	0	0	0	0	0	0	0	0	0.00441690065304932	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00513576416884022	0	0	0	0	0	0	0	0.00396437937089632	0	0	-0.00232119215453578	0	0	0	0	0.00523780248560382	0
"rrlB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.151404133214197	0	0	0	0	0.0720485231307112	0	0	0	0	0	0	0	0	0	0	0.080919938827335	0	0	0	1.08394917391321e-05	0	0	0	0	0	0	0	0	0	0	0	0.00317255758079172	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rssB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00925005260390024	0	0	0	0	0.0196760941120371	0	0	0	0	0	0	0	0	0	0	0.000677483296963964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sbcC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164034168563885	0	0	0	0	0.094298735495918	0	0	0	0	0	0	0	0	0	0	0.0123530714593024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00440246900865585	0	0	0	0	0	0	0	0	0	0	0
"secF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078494691529877	0	0	0	0	0	0	0	0	0	0	0.157177698482754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"speB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0793172232370843	0	0	0	0	-0.01988088934707	0	0	0	0	0	0	0	0	0	0	0.158860412455015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tap"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000171059402698729	0	0	0	0	-0.0933580525887632	0	0	0	0	0	0	0	0	0	0	-0.173042727787817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tig"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0940266930472572	0	0	0	0	-0.176607762546146	0	0	0	0	0	0	0	0	0	0	-0.0567173085017913	0	0	0	0	0	0	0.0082997040833752	0	0	0	0	0	0	0	0.01354825744349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"uspA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0465384603088395	0	0	0	0	-0.246854173927372	0	0	0	0	0	0	0	0	0	0	0.0568730004763661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"yahA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00347473631684666	0	0	0	0	-0.183428701332956	0	0	0	0	-0.0571973098835504	0	0	0	0	0	0	0	0	0	0	-0.0361796175495188	0	0	0.00258412488623237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00728685498888597	0.0125245318583522	0	0	0	0	-0.00279556375328725	0	0	0	0	0	0
"yahG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.149690017471638	0	0	0	0	-0.0899231399613051	0	0	0	0	0	0	0	0	0	0	0.0689004616019576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00615024406327466	0	0	0	0	-0.149709366696317	0	0	0	0	0	0	0	0	0	0	0.0099405667340608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ydbD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176418602019031	0	0	0	0	0	0	0	0	0	0	0.0626916264402764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ydcN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00750356354002385	0	0	0	0	-0.191717694181421	0	0	0	0	0	0	0	0	0	0	0.124216069328981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0177383498856097	0	0	0	0	0	0	0	0	0	0
"ydcU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0764850067363496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.144330047439591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ydgR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.181448937710347	0	0	0	0	0.0538178932002399	0	0	0	0	0.0183763434906574	0	0	0	0	-0.00892613736005215	-0.0281970521448736	0.00127530051967201	0	0	0	0	0	0	0	0.018485629759975	-0.00217988631785331	0	0.0237317763350869	0	0	0	0	0	0.000464522649504089	0	0	0	0	0	0.00513576416884022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.023293769065934	0	0	-0.0125905178360165	0	-0.00207538651348179	0	0	0.00434955537880384	0
"ydiJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0527705726962252	0	0	0	0	-0.18479397596794	0	0	0	0	0	0	0	0	0	0	-0.0508712375201529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"yehU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.142768557289897	0	0	0	0	-0.0837011924362777	0	0	0	0	0	0	0	0	0	0	0.0664629472812055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"yejA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0551768440333444	0	0	0	0	-0.194734121918034	0	0	0	0	0	0	0	0	0	0	-0.0532569741899233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"yejM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00564469798516e-06	0	0	0	0	0.125079750837982	0	0	0	0	0	0	0	0	0	0	-0.142545123548751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"yfcD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00474373904158587	0	0	0	0	-0.183668582410397	0	0	0	0	-0.0559096316310119	0	0	0	0	0	0	0	0	0	0	-0.0384300965802729	0	0	0.0038415204146774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00728685498888597	0	0	0	0	0	0	0	0	0	0	1	0.0136514779075516	0	0	0.00118082469940789	0	-0.00409119141317643	0	0	0	0	0	0
"yfeY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102680253956912	0	0	0	0	-0.183524375195228	0	0	0	0	-0.0576123675951178	0	0	0	0	0	0	0	0	0	0	-0.0385847511680385	0	0	0.00937850177624752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00440246900865585	0	0	0	0	0	0.0125245318583522	0	0	0	0	0	0	0	0	0	0	0.0136514779075516	1	0	0	0.0069370789851358	0	-0.00755936669228847	0	-0.00331828083527665	0	0	0	-0.00498884482333687
"ygaD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0107918974283303	0	0	0	0	-0.185276317581306	0	0	0	0	0	0	0	0	0	0	0.126935089866605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0177383498856097	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"ygcN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.181304886909048	0	0	0	0	0.0530965787203369	0	0	0	0	0.0171804479014794	0	0	0	0	-0.00757211199676335	-0.0310032165018434	1.64397035594819e-06	0	0	0	0	0	0	0	0.0174114536942799	0	0	0.022724979608442	0	0	0	0	0	0	0	0	0	0	0	0.00396437937089632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023293769065934	0	0	0	0	0	0	0	1	0	0	-0.0121277557240619	0	-0.00153547788031776	0	0	0.0031537460500963	0
"ygfK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.180286880137324	0	0	0	0	-0.0596500883311799	0	0	0	0	0	0	0	0	0	0	-0.0209634567781335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00118082469940789	0.0069370789851358	0	0	1	0	0	0	0	0	0	0	0
"yhhF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0793632202249239	0	0	0	0	0	0	0	0	0	0	0.165316021136375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"yicC"	0	0	0.00776637645457144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116285541370391	0	0	0	0	-0.000392676621554773	0	0	0	0	-0.00356004340091691	0	0	0	0	0	0.143921097083923	0	0	0	0	0	0	0	0	-0.00860276170440692	0	0	-0.0114352797696043	0	-0.0126112942961778	0	0	0	-0.0168628782697434	0	0	0	0	0	-0.00232119215453578	0	0	0	0	0	0	0	0	-0.00279556375328725	0	0	0	0	0	-0.0125905178360165	0	0	0	0	-0.00409119141317643	-0.00755936669228847	0	-0.0121277557240619	0	0	1	0	0.019185181125402	0	0	-0.00442771885122725	0
"yjcC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165237684166014	0	0	0	0	0	0	0	0	0	0	0.0611671884860456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"yjcF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121878115691853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147399994140166	0	0	0	0	0	0	0	0	0	0	0	-0.000834225312456683	0	-0.00236654458066185	0	0	0	-0.0072768399755757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00207538651348179	0	0	0	0	0	-0.00331828083527665	0	-0.00153547788031776	0	0	0.019185181125402	0	1	0	0	0	0
"yjeP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0690891197048286	0	0	0	0	0.00420143190632212	0	0	0	0	0	0	0	0	0	0	-0.193916394469555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0145611872965325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"yjgN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17311678151543	0	0	0	0	0	0	0	0	0	0	0.0633729723824338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ynjI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.119651393510684	0	0	0	0	0.133685808148799	0	0	0	0	0	0	0	0	0	-0.00307507372352568	-0.0650393173815756	0.00142722853670178	0	0	0	0	0	0	0	0	0	0	0.0035291519759226	0	0	0	0	0	0	0	0	0	0	0	0.00523780248560382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00434955537880384	0	0	0	0	0	0	0	0.0031537460500963	0	0	-0.00442771885122725	0	0	0	0	1	0
"yraL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167756158362709	0	0	0	0	0.0860015369786491	0	0	0	0	0	0	0	0	0	0	0.0135225158361882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00498884482333687	0	0	0	0	0	0	0	0	0	0	1
