"ECB_00739"	"ECB_00825"	"ECB_01992"	"ECB_01996"	"ECB_02512"	"ECB_04210"	"ESCRE0749"	"ESCRE1901"	"IS3_insF"	"abgB"	"actP"	"araE"	"argA"	"aroK"	"cls"	"crp"	"dapA"	"efeO"	"fbp"	"fis"	"fruK"	"glgA"	"glgC"	"glgP"	"glmM"	"glmS"	"glpF"	"glpG"	"glpR"	"glpT"	"gor"	"gyrB"	"hupB"	"iclR"	"ilvL"	"infB"	"kpsD"	"kpsE"	"lysR"	"mdoH"	"metJ"	"mrdA"	"mrdB"	"mreB"	"mreD"	"murE"	"nrdR"	"nuoA"	"nusA"	"ompR"	"oxyR"	"pbpG"	"pyrB"	"rep"	"rho"	"rnc"	"rne"	"rplF"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rpsR"	"rsmC"	"rssB"	"sbmA"	"slyA"	"thiI"	"thrA"	"thrS"	"tig"	"tktB"	"tldD"	"truB"	"ubiB"	"uidB"	"uspA"	"vacJ"	"valT"	"wzyE"	"ybaL"	"ybfA"	"ybhJ"	"ybiW"	"ycbS"	"yccE"	"ydcN"	"yehU"	"yfcN"	"ygaD"	"ygjF"	"yhaO"	"yhiO"	"ynjA"	"yraQ"
"ompR"	0	0	0.044970759163253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098560697202678	0	0.0843164177178266	0	0	0	0	0	0	0	0	0	-0.0258746832549524	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0912689895704992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0992297974135128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"oxyR"	0	0	-0.0417960670044788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0210530221636783	0	0	0	0.164383348992081	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136668084262319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pbpG"	0	0	0.125375121560261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0324432591167589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.088988865709435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0862910019830317	0	0
"pyrB"	0	0	0	0	0	0	0	0.0803936587292409	0	0	0	0	0	0	0	0	0.0794289561431521	0	0	0	0	0	0	0	0	0.0826673842094311	0	0	0	0	0	0	0	0	0	0	0.0888883488294424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0878011655897465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0861593924667142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0837738309864117	0	0	0	0
"rep"	0	0	-0.159313439318494	0	0.0575554581720062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127322916428909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028360105885044	0	0	0	0	0	0	0	0	0	0	0	0	0
"rho"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.156523298488308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rnc"	0	0	0.0456199376325485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101379118659451	0	0.0872834183956404	0	0	0	0	0	0	0	0	0	-0.0261470285727158	0	0	0	0	0	0	0	0	0	0	0	0	0.0912689895704992	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10203691341704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rne"	0	0.0111737936534167	-0.0913476560339259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.177160580735464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rplF"	0	0.0251429168327199	-0.0992358862610773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00612656882126607	0.0014558630670508	0	0	0	0	-0.198657063332026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoA"	0	0	0.0954116092643216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0476003117854863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00107056998803199	0	0.0795781506946533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0468274834286612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	0	0	-0.0817972126090631	0	0	0	0	0.0551149778905559	0	0	0	0	0	0	0	0	0.0788991940766186	0	0	0	0	0	0	0	0	0.0832010934764341	0	0	0	0	0	0	0	0	0	0	0.0263106562997063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0878011655897465	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0876976114321864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0846182277068949	0	0	0	0
"rpoD"	0	0	0	0	0	0	0	0.0931508921961515	0	0	0	0	0.124912315666895	0	0	0	0	0	0.121390763144231	0.0936238824314701	0	0.12690853505829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00169485283033831	0.123531182701219	0	0	0	0	0.0506528927820806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.116260264890487	0	0	0	0	0	0	0.119417659056399	0	0	0.115557169169977	0	0	0	0	0	0	0	0	0	0	0	0	0.137692114423227	0	0	0
"rpsA"	0	0	0.0587237108142829	0	0	0	0	0	0	0	0	0	0	0	0	0.103737891212618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0515007025648874	0	0	0	0	0.0251209459553798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpsR"	0	0	-0.0219031012110114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0661302412151827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rsmC"	0	0	0.113244086390729	0	0	0.0463526801871878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103907373779734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0560671891908137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rssB"	0	0	0.125257307918146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0324337975688493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.088988865709435	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0859344844280266	0	0
"sbmA"	0	0	-0.0407009348614664	0	0	0	0	0	0	0	0	0	0	0.0899581950977526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0573906930599376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0861520684788612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"slyA"	0	0	0.115530373276986	0	0	0.0487375672674759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108178118953099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0560671891908137	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"thiI"	0	0	0.0563672451893762	0	0	0	0	0	0.0758404853429879	0	0	0.0988564879506669	0	0	0	0	0	0.0990601322856751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0768040450026034	0	0	0	0.0398070898075592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"thrA"	0	0	-0.055144157743272	0	0	0	0	0.106998540641371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0252168409617889	0	0	0	0	0	0.0752938149015792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116260264890487	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.109709036239495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"thrS"	0	0	0.0602500721565681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071678307224842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0851591147544825	-0.0371337962517265	0	0	0	0	0	0	0	0.0849601272934288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tig"	0	0	-0.0417405575796804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0210785915879607	0	0	0	0.163980813590662	0	0	0	0	0	0	0	0	0	0.136668084262319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tktB"	0	0	-0.0400270091916534	0	0	0	0	0	0	0	0	0	0	0.0861968358936044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0560292980837822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0861520684788612	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tldD"	0	0	-0.186847950541983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0546263530436153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"truB"	0	0	0.0466442012623833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109101797391947	0	0.0953488688543184	0	0	0	0	0	0	0	0	0	-0.0265070030768165	0	0	0	0	0	0	0	0	0	0	0	0	0.0992297974135128	0	0	0	0	0	0.10203691341704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ubiB"	0	0	0	0	0	0	0	0.0802682745529305	0	0	0	0	0	0	0	0	0.0793438057592853	0	0	0	0	0	0	0	0	0.0825867099347547	0	0	0	0	0	0	0	0	0	0	0.0885718791732751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0861593924667142	0	0	0	0	0	0	0	0.0876976114321864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0836920464375323	0	0	0	0
"uidB"	0	0	-0.00588397945059814	0	0	0	0	0	0	0	0	0	0.131073142163379	0	0	0	0	0	0.128154013286156	0.140313148885567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0132826059999354	0.12991848657926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119417659056399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"uspA"	0	0	-0.116883243087272	0	0.0351879883861099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0186532029821766	0	0	0	0	0	0	0.233327497663996	0	0	0	0	0.00393823100087816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.00307865147284436	0	0	0	0	0.0258654794571556	0	0	0.0252390963436954	0	0	0	0	0
"vacJ"	0	0	0.135759654428742	0.0428046977977026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0414339588188444	0	0	0	0	0	0	0	-0.0586411512397995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"valT"	0	0	-0.0549570309029105	0	0	0	0	0.106467237720174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0250785700053368	0	0	0	0	0	0.0746876846218739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115557169169977	0	0	0	0	0	0	0	0.109709036239495	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"wzyE"	0	0	0.0839398346641035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086746733337223	0	0	0	0	0	0	0	0.00336458190661558	0	0	0	0.129906385717283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.104128607176694	0	0	0	0	0	0	0	0	0	0	0	0
"ybaL"	0	0	-0.0451821514691464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00105656061791194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybfA"	0	0	-0.0765240660304974	0	0.0722485649793168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169719549412599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028360105885044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00307865147284436	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybhJ"	0	0	0.0780299789174551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0833945688516626	0	0	0	0	0	0	0	0.00318136965369409	0	0	0	0.127813734352983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104128607176694	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ybiW"	0	0	0.0802158237875845	0	-0.0102394470397689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.183951618454192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"ycbS"	0	0	0.0798830710647577	0	-0.00887811700590641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.181958057883518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"yccE"	0	0	-0.0142758133975346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141049156806594	0	0	0	0.0254360429577103	0	0	0.165137071886481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"ydcN"	0	0	-0.0759449404271972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0730584750627944	0	0	0	0	0	0	0.119881388247055	0	0	0	0	0.0148143407697943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0258654794571556	0	0	0	0	0	0	0	0	0	1	0	0	0.0776919186084896	0	0	0	0	0
"yehU"	0	0	-0.27083824666329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"yfcN"	0.0306826841958113	0	-0.203660919110163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0550998937366666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00772745515088919
"ygaD"	0	0	-0.0757728447931724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0724961548611404	0	0	0	0	0	0	0.119671199450655	0	0	0	0	0.0139693040177661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0252390963436954	0	0	0	0	0	0	0	0	0	0.0776919186084896	0	0	1	0	0	0	0	0
"ygjF"	0	0	0	0	0	0	0	0.0768844966865487	0	0	0	0	0	0	0	0	0.0767353522361634	0	0	0	0	0	0	0	0	0.0800845747929848	0	0	0	0	0	0	0	0	0	0	0.0800116190609456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0837738309864117	0	0	0	0	0	0	0	0.0846182277068949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0836920464375323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"yhaO"	0	0	0.0539680536415102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103202438893566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021391509070427	0	0	0	0	0	0	0	0	0	0	0	0.000555791028550718	0	0	0	0	0	0	0	0	0	0	0	0	0.137692114423227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"yhiO"	0	0	0.121214909704702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0321131893532799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0862910019830317	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0859344844280266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ynjA"	0	0	-0.190809784317588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0560957939537573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"yraQ"	0.0179857123105291	0	-0.184801006415015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0468271923713575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00772745515088919	0	0	0	0	0	1
