"ECB_00503"	"ECB_00739"	"ECB_01413"	"ECB_01992"	"ECB_01999"	"ECB_02798"	"ECB_03523"	"ESCRE1397"	"ESCRE1901"	"ESCRE2157"	"ESCRE3628"	"actP"	"aroA"	"aroK"	"atoC"	"bglJ"	"cbpA"	"cls"	"dedA"	"deoA"	"dgsA"	"dgt"	"dinG"	"dnaX"	"dppD"	"dusB"	"fbp"	"fis"	"frmB"	"fruK"	"fusA"	"glgC"	"glgP"	"glmM"	"glmS"	"glpE"	"glpF"	"glpG"	"glpR"	"glpT"	"gltL"	"hemA"	"hemL"	"hsdR"	"iclR"	"ilvE"	"ilvG"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"malQ"	"metH"	"metJ"	"metW"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nrdR"	"nusA"	"ompR"	"orn"	"pbpG"	"poxA"	"prc"	"pta"	"rep"	"rhlB"	"rho"	"rluB"	"rnc"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpsA"	"rpsR"	"rssB"	"sbmA"	"sdaC"	"secF"	"tap"	"thrB"	"thrS"	"tktB"	"tldD"	"treF"	"truB"	"uspA"	"wbbD"	"wcaI"	"wzyE"	"yahG"	"ybaL"	"ybhJ"	"ydaE"	"ydbD"	"ydcN"	"ydcU"	"ydgR"	"yecP"	"yehU"	"yfiB"	"ygaD"	"ygcN"	"yhiO"	"yiaG"	"yjcC"	"yjeP"	"yjgN"	"yjhA"	"ykgE"	"ynjA"
"gltL"	0	0	0	0.00138293801485409	0	0	0	0	0.0355842336683654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0418493739417456	0	0	0	0	0.0655910835904173	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0708969297006649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0997754905985198	0	0	0	0	0.0896304501778386	0	0	0	0	0	0	0	0
"hemA"	0	0	0	-0.0537321798961339	0.0594373088475063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0716455006827377	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0703236711385581	0	0	0.03467583051518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00670971213879908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hemL"	0	0.054214923346697	0	0.127679389851883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0761829889724495	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0453212533971874	0	0	0	0	0	0	0	0	0	0	0	0.00220647068590365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0284485454061188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsdR"	0	0	0	0.0780912688118216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0551540458686898	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0439931076514729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0562154414941975	0	0	0	0	0	0	0.0599891863486683	0	0	0.0537756937569375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	-0.043807937366054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.253426921482867	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvE"	0	0	0	0.0866248410714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.97424704811229e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0532715843803426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvG"	0	0	0	-0.0661144126081851	0.0756914080974362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0875042703040464	0	0	0	0	0	0	0	0	0	0.0703236711385581	0	0	0	0	1	0	0	0.0482443450909891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0278944473454296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvL"	0	0	0	0.0643538708715017	0	0	0.0946365165869693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00488834511585234	0	0	0	0	0	0	0	0	0	0	0	0	0.0114622115453151	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0336104871311661	0	0.0520457355481638	0	0	0	0	0.0175368220127038	0	0	0	0	0	0	0	0	0	0.0108306697441955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102385142377789	0	0	0	0	0.103468010500959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"infB"	0	0	0	0.0708342307240563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0196961651693372	0	0	0	-0.13920679121852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0903487830630166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0589906188824779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0.0313579035000157	0	0.0494782552001931	0.000585377080472381	0.0397752981435434	0	0	0.0459963099416484	0	0	0	0	0.00427397951937798	0	0	0	0	0	0.0252004152262461	0	0	0	0	0	0	0	0	0.0507368740382081	0	0	0	0.202680532215554	0	0	0	0	0	0	0	0	0	0.03467583051518	0	0	0	0	0.0482443450909891	0.0336104871311661	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285278810810803	0	0	0	0	0	0	0.102114059681738	0	0	0	0	0.0386893755077364	-0.0282360621377159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0284100206497146	0	0	0	0	0	0
"kpsE"	0	0.0520165948733724	0	0.124482439105003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074892937085498	0	0	0	0	0	0	0	0	0	0	0.0453212533971874	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025546007473918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsM"	0	0	0	-0.0883024482697586	0	0	0.0984726034268298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0162730445884398	0	0	0	0.0501894824399732	0	0	0	0	0	0	0	0	0	0	0	0.0520457355481638	0	0	0	1	0	0	0	0.0620908799245039	0	0.0901704492075498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00981558854875149	0	0	0	0.047354017858606	0	0	0.0288922619751905	0	0.105157094781014	0	0	0	0	0	0	0	0	0	0	0	0	0.0592780848984003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"malQ"	0	0	0	0.0581547214483854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108123599492133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0132138285966018	0	0	0	0	0	0	0	0	0	0	0	0	0.0168774999837634	0	0	0
"metH"	0	0	0	-0.0269641885773054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0609961695842013	0	0	0	0	0	0	0.0928290974693502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metJ"	0	0	0	0.159998314251195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022108005908324	0	0	0	0	0	0	0.0362388883630986	0	0	0	0	0.0439931076514729	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041604684083819	0	0	0	0	0	0	0.0459760276582696	0	0	0.0387286896354962	0	0.0195304130330639	0	0	0.0284607219649585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metW"	0	0	0	-0.0228713596824362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0276192487569614	0	0	0	0.0890718969839447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0620908799245039	0	0	0	1	0	0.0849722260094466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0705599154468676	0	0	0	0	0	0	0.0905557172419013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0951447653875898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdA"	0	0	0	-0.000385053727590422	0	0	0.0131227729905017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11064055927012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0175368220127038	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0256004861333935	0	0	0	0	0	0	0	0	0	0.0206403007222299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdB"	0	0	0	-0.139232123123491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00548871260411675	0	0	0	0.0751544161942105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0901704492075498	0	0	0	0.0849722260094466	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03958046393737	0	0	0	0	0	0	0.0661287469779024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082571864450698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreB"	0	0	0	0.00101529221686746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193962597557614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreC"	0	0	0.0517662592667316	0.0975149092812169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0510346672062221	0	0	0	0	0	0	0.0393727601383438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0279376486282484	0	0.0479072199612993	0	0	0	0
"mreD"	0	0	0	0.0240428506084125	0	0.0965617524210693	0	0	0	0	0	0	0	0	0.0343086888521936	0	0.0982317830429273	0	0	0	0	0	0	0	0	0	0	0.0154617801181515	0	0	0	-0.0162804612263937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0903487830630166	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0304597793187553	0	0	0	0	0	0	0	0	0	0	0
"nrdR"	0	0	0	0	0	0	0	0	0	0	0	0.0450163146358289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117717145696143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0366706911647842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0383660861667143	0	0	0	0	0	0	0	0	0	0	0.0262599860283826
"nusA"	0	0.0109644775827031	0.0126704841126053	0.092838090461178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127167714014731	0	0	0	0	0	0	0	0	0.0708969297006649	0	0.00220647068590365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0651644869160032	0	0	0	0	0.0506131078519706	0	0	0	0	0	0	0	0
"ompR"	0	0	0	0.0283730150477274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0594942144347247	0	0.0467122776003746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0248916272270799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0480080964598927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"orn"	0	0	0	0.00616996547285952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0931909689469756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.109193779796917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pbpG"	0	0	0	0.147417173595657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0774686487137288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0373921677880261	0	0	0	0	0	0	0
"poxA"	0	0	0	0.128682004130958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039258401240865	0	0	0	0	0	0	0	0	0	-0.0568469282553477	0	0	0.0447618246392708	0	0	0	0	0	0	0	0	0	0	0	0	0.0108306697441955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prc"	0.0409300377744288	0	0	-0.0690155177138682	0	0	0	0.0593688933782937	0	0	0	0	0	0	0	0	0	0	0.0334234928561418	0	0	0	0	0	0	0	0	0	0	0	0	0.0758388023900436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285278810810803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pta"	0	0	0	-0.0447939818160133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0910825771420368	0	0	0	0	0.0142252375776634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rep"	0	0	0	0	0	0	0	0	0	0	0	0.0258264999433921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096598705711624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0366706911647842	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016357589845326	0	0	0	0	0	0	0	0	0	0	0.00224106368699952
"rhlB"	0	0	0	0.00715439841166231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0996713890412729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109193779796917	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rho"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.365267458269409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rluB"	0	0	0	0.112909195250388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00873609512703022	0	0	0	0	0	-0.128066867761992	0	0	0	0	0	0	0	-0.00359376738396647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0510346672062221	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0674744989697166	0	0	0	0
"rnc"	0	0	0	0.0347240850128309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0756030349197657	0	0.0630504648697831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0248916272270799	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0641364457719274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoA"	0	0	0.0105310614732765	0.131290977274028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0655168047656956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102114059681738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoB"	0	0	0	-0.00424673426671745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00126807247770205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	0	0	0	0.0895054212772305	0	0.00972688893915461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127873366345571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoD"	0	0.0362962891383832	0	0.00974638319290079	0.0148615817018709	0	0	0	0	0	0.0183198442662035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0197024264133324	0	0	0	0	0.185894062695688	0	0	0	0.0581816596307975	0	0	0	0	0	0.00670971213879908	0.0284485454061188	0	0	0	0.0278944473454296	0	0	0	0.025546007473918	0.00981558854875149	0	0	0	0.0705599154468676	0	0.03958046393737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0180657106800436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0676297940159157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoH"	0	0	0	-0.0444468471078621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpsA"	0	0	0.0534843816573089	0.0736821205116309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0678893098400706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0386893755077364	0	0	0	0	0	0	0	0	0	0.0393727601383438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0294190231649715	0	0	0	0	0	0
"rpsR"	0	0	0	-0.0916734216356902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044876494677822	0	0	0	0	0	0	0	0	0	0	-0.18917092551003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0282360621377159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rssB"	0	0	0	0.083496846577642	0	0.0494211734574859	0.0933962446478818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00803658987950497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102385142377789	0	0	0	0.047354017858606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.103047768975906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sbmA"	0	0	0	-0.0631235243303212	0	0	0	0	0	0	0	0	0	0.0499113407486617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.097136330550762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0420212879405585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sdaC"	0	0	0	0.0761993660619138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0534209108651435	0	0	0	0	0	0	0	0	0	0	0	0.0562154414941975	0	0	0	0	0	0	0	0	0	0	0.041604684083819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0579764362367462	0	0	0.051560903030769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"secF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0264684724030406	0	0	0	0.0786276025259635	0	0	0	0	0	0	0	0	0	0	0	0	0.0589906188824779	0	0	0.0288922619751905	0	0	0	0.0905557172419013	0	0.0661287469779024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0180657106800436	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0876068423450495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tap"	0	0	0	-0.143159516807397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00191276653268502	0	0	-0.054980586960286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"thrB"	0	0	0	-0.0209461928800597	0	0	0.120481329513234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0261270787211483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103468010500959	0	0	0	0.105157094781014	0	0	0	0	0.0256004861333935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103047768975906	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
