"ECB_00376"	"ECB_01992"	"ECB_02008"	"ECB_03523"	"ESCRE1328"	"ESCRE1901"	"ESCRE2157"	"atoC"	"azoR"	"cls"	"crp"	"dgsA"	"dnaA"	"dppD"	"dusB"	"fbp"	"frmB"	"ftsW"	"glgC"	"glgP"	"glpE"	"glpF"	"glpG"	"glpR"	"gltB"	"hrpA"	"hupB"	"iclR"	"ilvL"	"infB"	"kpsD"	"kpsM"	"kpsT"	"leuX"	"mdoH"	"metJ"	"metW"	"mrdA"	"mrdB"	"mreC"	"nuoM"	"nuoN"	"nusA"	"orn"	"ppiA"	"ppk"	"pta"	"rhlB"	"rho"	"rmlA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpoS"	"rpsA"	"rpsR"	"rssB"	"secF"	"tap"	"thrB"	"wzyE"	"yahN"	"ybaL"	"ybhJ"	"ycbC"	"yccE"	"ycgV"	"ydaE"	"yeeJ"	"yehU"	"yejM"	"yfaE"	"yfdC"	"ygfA"	"ygiV"	"yjaH"	"yqeA"	"yraM"	"znuA"
"secF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0725534485253225	0.0442877497885027	0	0	0	0	0	0	0	0	0.149611687718995	0	0.0857600168585743	0	0	0	0	0.115127284831789	0	0.0824071714616344	0	0	0	-0.00294960794142916	0	0	0	0	0	0	0	0	0.134561089385684	-0.00751120202573356	0.0608256028504025	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.102597073311517	0	0	0	0	0	0	0	0	0	0	0
"tap"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0286743670747015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"thrB"	0	0	0	0.0989985186243682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13572364812891	0	0	0	0	0	0.0899088660521073	0	0	0	0	0	0	0	0	-0.00760268324691172	0	0	0	0	0	0	0	0	0	0	0	0.123334326227225	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"wzyE"	0	0.0574454514540585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0320839708887443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"yahN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00424497967457988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092148879547836	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0255234452249485	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0465734323592808	0	0	0	0.154773258728768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybhJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ycbC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152631767623292	0	0	0	0.0712992471764009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106646921312153	0.137282108987067	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.149079622526882	0	0	0	0	0	0	0
"yccE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157096421350167	0	0	0	0	0	0	0	0.15319565631573	0	0	0	0	0	0	0	0	0	0	0	-0.0328596642005576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ycgV"	0	0	0	0	0	0	0	0	0	0	0	0	0.092823057384998	0	0.0327820941732656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113822174785122	-0.0182541324796633	0	0	0	0	0	0.00370131945390034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0657466161321359	0	0	0	0	0
"ydaE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0885873362237626	0	0	0	0	0	0	0	0	0	0	0.116442037402442	0	0	0	0	0.133465871939627	0	0.121337684940014	0	0	0	0	0	0	0	-0.000775486178812312	0	0	0	0	0	0	0.117036955547959	0	0	0	0	0	0.102597073311517	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"yeeJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11521855539346	0	0	0	0	0	0	-0.00265449365924159	0	0	0	0	0	0	0	0	0.139649703368972	0	0	0	0	0	0	0.098351599601947	0	0	0	-0.0126936592721914	0	0	0	0	-0.121773561348205	0	-0.0492230760304393	0	0	0	0	0	0	0	0	-0.00852154302695508	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.138277048422489	0	-0.0018863906928115	0.127672263350827	0
"yehU"	0	0.0952684072433996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0712040665069808	0	0	0	0	0	0	0	0	0	0.128445492501911	0	0	0	0	0.0422978431354959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0932413386063018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"yejM"	0.125284604175666	0	0.148692510434642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140560539519504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"yfaE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153123249875489	0	0	0	0.0724005236217552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107464726630907	0.137881971111726	0	0	0	0	0	0	0	0	0	0	0	0	0.149079622526882	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"yfdC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0583705581474328	0	0	0	0	0	0	0	0	0	0	0	0	0.0950762245007641	0	0.0634394552408966	0	0	0	0	0	0.063153974051547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0700603863199724
"ygfA"	0	0	0	0	0	0	0	0	0	0	0	0	0.127297965600206	0	0.0840453393106237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138159861820228	-0.0505560591148199	0	0	0	0	0	0.0737284715572359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0657466161321359	0	0	0	0	0	0	1	0	0	0	0	0
"ygiV"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082761237929615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121356208677774	0	0	0	0	0	0	0.0514823458613467	0	0	0	0	0	0	0	0	-0.0859693049833228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138277048422489	0	0	0	0	0	1	0	0	0.0988693962966452	0
"yjaH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0638433985235512	0	0	0	0	0	0.0255234452249485	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"yqeA"	0	0	0	0	0.140057583745317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0108247888451032	0	0	0	0	-0.00258591142433243	0	0	0	0.141550315345615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0018863906928115	0	0	0	0	0	0	0	1	0	0
"yraM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0526194148650462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102387610180976	0	0	0	0	0	0	0.0102740972219975	0	0	0	0	0	0	0	0	-0.0561416586606647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127672263350827	0	0	0	0	0	0.0988693962966452	0	0	1	0
"znuA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102694921964312	0	0	0	0	0	0	0	0	0	0	0	0	0.126663963431292	0	0.105634151196059	0	-0.00398693462124227	0	0	0	0.100906623361249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0700603863199724	0	0	0	0	0	1
