"ECB_01992"	"ECB_01996"	"ECB_01999"	"ECB_02002"	"ECB_04076"	"ECB_04210"	"ESCRE0483"	"ESCRE0749"	"ESCRE1901"	"ESCRE4497"	"IS3_insF"	"abgB"	"aroA"	"aroK"	"bglJ"	"cls"	"crp"	"deoA"	"dinG"	"dnaX"	"eamA"	"eutJ"	"fbp"	"fruK"	"fsr"	"fusA"	"gabD"	"glgC"	"glgP"	"glpF"	"glpG"	"glpR"	"glpT"	"hemA"	"hsdR"	"hupB"	"hycE"	"hyfG"	"iclR"	"ilvG"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"lon"	"lptB"	"lsrG"	"lysR"	"malQ"	"mdoH"	"metA"	"metJ"	"motB"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"murE"	"napA"	"nuoA"	"nusA"	"pta"	"rho"	"rhsA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpsR"	"rsmC"	"rssB"	"sbmA"	"sdaC"	"secF"	"slyA"	"speB"	"thrS"	"tktB"	"topA"	"treF"	"vacJ"	"wbbD"	"wcaI"	"yahG"	"yahN"	"ybaL"	"ybiW"	"ycbS"	"yccE"	"ydbD"	"yehU"	"yfcI"	"yfhK"	"yfiB"	"yggG"	"yhhF"	"yjaH"	"yjbA"	"yjcC"	"yjgN"	"ykgE"
"metA"	0	0	0	0	0	0	0	0	0.106445015210973	0	0	0	0	0	0	0	0.135446516847612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10138964810271	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.0753199691204437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0856548107131969	0	0	0	0	0	0.116279073299662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0099172824805712	0	0	0	0	0	0	0	0	0	-0.0117530161332967	0	0	0	0.093263122322528	0	0	0	0	0	0	0.110012384778782	0	0	0	0	0	0	0.121276187747663	0	0.101829834202544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"motB"	0	0	0	0	0	0	0.0516005693288558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0976861754257494	0	0	0	0	0	0	0.0773782625294315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdA"	0	0	0	0	0	0	0	0	0	0.0468857262528196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0651108986917579	0	0	0	0	0	0	0.0099172824805712	0	1	0	0	0	0	0	0	0	0	0	-0.277032911597075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0044811635377065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122853571713778	0	0	0	0	0	0	0	0	0	0	0	0	0.151688864337334	0	0	0	0	0	0.0793763159766011	0	0	0	0	0	0.145699465135975	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.00974162092707223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132574458808161
"mreB"	0.144302433777831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426215334915926	0	0	0	0	0	0.134677403539967	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0234217915952024	0.0264558386547226	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00776323407821044	0	-0.0431901645511387	0	0	0	0.0190887374314288	0.0191808010097931	0	0	0.0584121122113724	0	0	0	0	0.0763425962107055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0910470894312762	0	0	0	0	0	0	0	0
"mreC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182122336196014	0	0	0.135386312995829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0438467596803712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0745727768197047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0615853358375868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"murE"	0	0	0	0	0	0	0	0	0	0	0	0.0268655086863972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.091332717816083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"napA"	0.0649236384870064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0030759511873161	0	0	0.0550190660343346	0	0	0.119524416519983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.00509097162813269	0	0	0	0	0.0754339686313865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119009949892891	0	0	0	0	0
"nuoA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0642731763506641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nusA"	0.00803176737782678	0	0	0	0	0.0542634510440892	0	0	0.0584186986296956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112243392996592	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00776323407821044	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.115265536866293	0	0	0	0	0.12411686348158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176232907515003	0	0	0.0917998027046859	0	0	0	0	0	0
"pta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.116133090619253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rho"	0	0.0300528198456021	-0.0352648179791416	0.0523035997718401	0	0	0.0747369117004896	0.00865842173244823	-0.00759211095656041	-0.0276114289589698	0	0.100183477172542	-0.0566856696343773	0.0953080140024935	-0.0289518753670977	0.363091329346767	-0.0540411331352674	0	0	0.0186405832938498	0.1332858541286	-0.0531945680938925	-0.0145343484902464	0.00299340876017954	0.00527939962981363	-0.0971061249401169	0.0513330609963145	-0.0766352656493803	0.0616744807100433	0.027786655056559	0.0380486128444773	0.135996526424027	-0.0958927647519097	-0.0325698899378916	-0.0122208755598397	-0.0101478225219057	-0.153327698313812	-0.012247717522934	0.313367107285003	-0.0535170418982879	0	0.0625220316723919	-0.0964966975665191	-0.223223639072571	0	-0.0317028374626834	-0.175130282504982	0.0958027909733053	0.0885112105902415	-0.0793801377986676	0	-0.0753199691204437	-0.0117530161332967	0.0976861754257494	-0.277032911597075	0.00974162092707223	-0.0431901645511387	0.0438467596803712	0.0615853358375868	0.091332717816083	-0.00509097162813269	0.0642731763506641	0	0.116133090619253	1	-0.163512017313261	0	-0.05494781429891	-0.160741393750938	-0.215708921239775	0	0.208026599699316	0	-0.125474064051035	0.0958894431821195	-0.0101816381088377	-0.00828124133374026	0	0	0	0.0703597000566309	0.0704477282207548	-0.0126816253317101	0.0851123503033299	-0.00833974350955351	0.000213640121143252	-0.0564812899681447	0.0843028185229261	-0.0086254748954279	0.0700470634705989	0.056705756258889	0	-0.131839162698961	-0.213999989201115	0	0	0	0	-0.00464922051363959	0.0783159454708363	-0.0173609559011769	-0.0452261074339563	-0.139406759646044	0.0225642870203704
"rhsA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.163512017313261	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.05494781429891	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	0.000769459884382841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0877485359581381	0	0	0	0	0	0	0	0	0	0	0	0.0839929446568991	0	0	0	0	0	0	0	0	0.0322541861002588	0	0	0	0	0	0	0	0	0.093263122322528	0	0	0	0.0190887374314288	0	0	0	0	0	0	0	-0.160741393750938	0	0	0	1	0	0	0	0	0	0	0.0751564083012964	0	0	0	0	0	0	0.0907831313660761	0	0.063987520066021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0592640463110066	0	0	0
"rpoD"	0	0	0.0341954454214298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121627194132574	0.00433145920063463	0	0.0742899450704173	0	0	0	0.0744859006443527	0	0	0	0	0.0470145918872391	0	0	0	0	0	0	0	0	0	0	0	0.0191808010097931	0	0	0	0.0754339686313865	0	0	0	-0.215708921239775	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129530040632928	0	0	0.0801632309737813	0	0	0	0	0
"rpoH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpsR"	0	0	0	0	0	0	0.044245828262848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0773782625294315	0	0	0	0	0	0	0	0	0	0	0.208026599699316	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0542142302324912	0	0	0	0	0	0	0	0	0	0	0	0.0389267345737304	0	0	0	0
"rsmC"	0.0833641789325194	0	0	0	0	0.0787194237183567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0575273653570359	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115441808274763	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0584121122113724	0	0	0	0	0	0.115265536866293	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.135659592383239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rssB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00437386963621085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.125474064051035	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sbmA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0144358612132711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0958894431821195	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sdaC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0362293890354464	0	0	0	0	0	0.0982006912994976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110012384778782	0	0	0	0	0	0	0	0	0	0	0	-0.0101816381088377	0	0	0	0.0751564083012964	0	0	0	0	0	0	1	0	0	0	0	0	0	0.106640367810461	0	0.0736727447315106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"secF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00828124133374026	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"slyA"	0.101652324033366	0	0	0	0	0.0974653364663963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0811840025784377	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12162593824952	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0763425962107055	0	0	0	0	0	0.12411686348158	0	0	0	0	0	0	0	0	0	0.135659592383239	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"speB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"thrS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tktB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0703597000566309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"topA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108075210010813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0706551399260237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0704477282207548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"treF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0786124746526022	0	0	0	0	0	0.113544080030639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121276187747663	0	0.0044811635377065	0	0	0	0	0	0	0	0	0	-0.0126816253317101	0	0	0	0.0907831313660761	0	0	0	0	0	0	0.106640367810461	0	0	0	0	0	0	1	0	0.0976300862283576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"vacJ"	0.020644937432232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0100869188701059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0851123503033299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"wbbD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00888268341305551	0	0	0	0	0	0.0870595553845957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101829834202544	0	0	0	0	0	0	0	0	0	0	0	-0.00833974350955351	0	0	0	0.063987520066021	0	0	0	0	0	0	0.0736727447315106	0	0	0	0	0	0	0.0976300862283576	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"wcaI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000213640121143252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"yahG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1019664251229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0760056779358555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0564812899681447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.135205440881544	0	0	0	0	0	0	0	0	0	0
"yahN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0843028185229261	0	0	0	0	0	0	0.0542142302324912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0.0040139025324239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.073899695147999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0086254748954279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybiW"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0700470634705989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ycbS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056705756258889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"yccE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163135784678369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172255521689855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ydbD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173360868058033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.131839162698961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0079862073372833	0
"yehU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0556108695271547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.213999989201115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135205440881544	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"yfcI"	0	0	0	0	0	0	0	0	0.145287348091747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176232907515003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.142712284216831	0	0	0	0	0	0
"yfhK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0963443822677685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138464314554444	0	0	0	0	0	0	0	0	0	0	0	0.0910470894312762	0	0	0	0	0	0	0	0	0	0	0	0	0.129530040632928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"yfiB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"yggG"	0	0	0	0	0	0	0	0	0.0227285807846287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0917998027046859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142712284216831	0	0	1	0	0	0	0	0	0
"yhhF"	0.072126605830329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114194195043146	0	0	0.0610250517004591	0	0	0.124023269714166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119009949892891	0	0	0	-0.00464922051363959	0	0	0	0	0.0801632309737813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"yjaH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0783159454708363	0	0	0	0	0	0	0.0389267345737304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"yjbA"	0.0320826730146304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0899975697260656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0721779692949816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0173609559011769	0	0	0	0.0592640463110066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"yjcC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0452261074339563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"yjgN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0271893388384124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.139406759646044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0079862073372833	0	0	0	0	0	0	0	0	0	1	0
"ykgE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0438739288389187	0	0	0	0	0	0	0	0	0	0	0	0	0.0837707699383908	0	0	0	0	0	0	0	0	0	0	0	0.0842327375306536	0	0	0	0	0	0	0	0	0	0	0.132574458808161	0	0	0	0	0	0	0	0	0.0225642870203704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
