"ECB_00376"	"ECB_00503"	"ECB_00737"	"ECB_00739"	"ECB_01413"	"ECB_01992"	"ECB_01996"	"ECB_02003"	"ECB_02008"	"ECB_02821"	"ECB_04210"	"ECB_misc_RNA_47"	"ESCRE1397"	"ESCRE1901"	"aroK"	"atoC"	"atpF"	"cbpA"	"cls"	"crp"	"dapA"	"dedA"	"deoA"	"dnaA"	"endA"	"eutJ"	"fbp"	"fis"	"frmC"	"ftsW"	"glgA"	"glgC"	"glgP"	"glgX"	"glmS"	"glpF"	"glpG"	"glpR"	"glpT"	"hsdR"	"hupB"	"hycE"	"iclR"	"infB"	"kefC"	"kpsD"	"kpsE"	"kpsM"	"kpsT"	"lptB"	"manX"	"manZ"	"mdoH"	"metH"	"metJ"	"mraY"	"mrdA"	"mreB"	"mreC"	"mreD"	"nuoN"	"nusA"	"orn"	"oxyR"	"pgaB"	"prc"	"prfA"	"proW"	"pta"	"pyrB"	"rhlB"	"rho"	"rhsA"	"rmlA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpoS"	"rpsA"	"rpsR"	"rsmC"	"rssB"	"sbmA"	"sdaC"	"slyA"	"sufD"	"tig"	"tktB"	"topA"	"treF"	"ubiB"	"uraA"	"uvrD"	"vacJ"	"wbbC"	"wbbD"	"yahA"	"ybaL"	"ycbC"	"yccE"	"ydeJ"	"ydiJ"	"yedW"	"yehU"	"yejA"	"yejM"	"yfaE"	"yfcD"	"yfcN"	"yfeY"	"yfhK"	"ygdH"	"ygfK"	"ygjF"	"yiaG"	"yicC"	"yjcF"	"yjhA"	"yraQ"
"hycE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0893148833435698	0	0	0	0	0	0	0.00289423532592761	0	0	1	0	0	0	0.0674500864779189	0	0	0	0.00105276969881587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.18814423464102e-05	0	0	0	-0.136409895860968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0175215177265682	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.158000275856148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0339151405443266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011693155067299	0	0	0	-0.109139159353082	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.0857384251131234	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000355246649852375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0992603695650219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kefC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.164654241838229	0	0.00264191776516353	0	0	0	0	0	0	0	0	0	0	1	-0.0789481447344377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0145882272816681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	-0.0524024627523835	0.146057344768216	-0.0856533841864847	-0.073304673659397	0.106387273923375	0.0206027989362512	-0.0907395270193273	0.135200375637367	-0.0542308203354016	-0.0931105298679522	0.14059049739824	-0.0909473202987538	0.161903459799391	0.14920946628207	-0.168785243939462	-0.00990854589822979	-0.112218201760493	-0.010685514330802	-0.0339349929614123	0.120599843351125	0.088338619095355	0.143115021882879	0	-0.0280972996044257	-0.109927051641029	0.062803607382022	0.135220125968607	-0.0950149286713023	-0.0815078010738641	0	0.112042456357274	0	0.0107042404119793	-0.0803959898165709	0.0874214486050744	-0.0193689934291097	0.0914697335509435	-0.0945102689085852	0.0678507952282289	0.00139684862657927	-0.0173480174947198	0.0674500864779189	-0.158000275856148	-0.0857384251131234	-0.0789481447344377	1	0.142219365746657	0.0768653997388511	0.0704880724336619	0.0689177014206544	0.0258305198977535	-0.0262089784800369	0.00616757930417256	-0.0152359955318021	-0.0361461056128686	-0.0874281230580502	0.0408944562561126	0.145267106478289	0.109549452341808	-0.0629265107659196	-0.0415250344865145	0.183669253636904	-0.181367622209674	-0.0540013755046384	-0.0965349629672586	0.144520989775292	0.0242755190908018	0.0258146785115946	-0.0379655729384762	0.0915225141250994	-0.192493975614025	-0.182070493814778	0.0701191880518882	-0.0374225308656392	0.0985637955904774	0.0326990000612015	0.161346412718339	0.00498357118169409	-0.00764113193983589	0.0683779200012307	0.104049155052799	-0.12392767169198	0.147796555428631	-0.0267792043598345	-0.169874137893545	0	0.150824947685575	0.0428862682181734	-0.0548108064621913	-0.165671131035454	-0.0909907940567127	0	0.0970562921092847	-0.0929425641515134	0.0262627514458556	-0.0945361922255912	0.0407720229681343	0	-0.0276064755308255	0	0	0.00618744757126493	-0.101671173176913	-0.102774731120071	-0.0965644493880617	0.0251281287943985	-0.108407819736084	-0.0530859804327529	0	-0.0276282146437533	-0.0741127482483768	-0.0289424955092538	0.0763520421871856	-0.0830226209792604	-0.0225442480461987	0.095803899206061	0.0965402160920452	0.14420681435395	0.142793334286478	-0.0838373856791801	-0.0685062838571341
"kpsE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0568832665852896	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142219365746657	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.152667908943011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0943738873700532	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0768653997388511	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0251531071391263	0	0	0	0	0	0	0	0
"kpsT"	0	0	0	0	0	0	0	0	0	-0.00460628586065927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0684926239550045	0	0	0	0	0.00293593189607772	0	0	0	0	0	0	0	0	0.0704880724336619	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.157426001004445	0	0	0.00849084299572616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lptB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.083367162066537	0	0	0	0	0	0	0.00225329546178518	0	0	0.00105276969881587	0	0	0	0.0689177014206544	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.137059597240967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"manX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.177258950222628	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0258305198977535	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0319549735370979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"manZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122386141312885	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0262089784800369	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.104823518757054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mdoH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0615783966888627	0	0	0	0	0	0	0	0	0.0822606265671521	0	0	0	0	0.00616757930417256	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0510763653547827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0686706143160661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00073236298187958	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0152359955318021	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0980974063724	0	0	0	0	0	0	0	0	0	0	0.0137189339392071	0	0	0	0	0	0	0	0	0.0216380077832055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0883244332120853	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0361461056128686	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0404970455736533	0	0	0	0	0	0	0	0	0	0	0	0	0.0197194321599871	0	0	0	0	0	0	0	0	0	0	0	0.0414102084086812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mraY"	0	0	0	0	0	0	0	0	0	0.00425571138056996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0438699663859362	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0874281230580502	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130266308400677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdA"	0	0	0	0	0	0.00380921111498184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0321700854903416	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0408944562561126	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0111412699083724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0341762796764862	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145267106478289	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0263352412309755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.60079051712593e-05	0	0	0	0.209694874304625	0	-0.00209617980622131	0	0	0	0	0	0	0	0	0	0	0	0.109549452341808	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00525051914434179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0076929161548036	0	0.0152067101695573	0	0	0	0	0	0	0	0	0	0.0101871077169411	0	0	0	-0.108990231159129	0	0	0	0	0	0	0	0	0	0	0	0.000355246649852375	0	-0.0629265107659196	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.193344129927446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nuoN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0948693168580557	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0415250344865145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0628491482760523	0	0	0	0	0.0606315335600785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nusA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0316528824113722	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183669253636904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0349421499418059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"orn"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2544448579453e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.181367622209674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0321920958788855	0	0	0	0	0	0.0440176371398805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"oxyR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0449838764416241	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0540013755046384	0	0	0	0	0	0	0	0	0.0404970455736533	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.0314131152383376	0	0	0	0	0	0	0	0	0	0	0	0.0686843391463735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pgaB"	0	0	0	0	0	0	0	0	0	0.0124853845685255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0477411811134049	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0965349629672586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.137946071729668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00816252697053345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prc"	0	0	0	0	0	0	0	0	0	0	0	0	0.00686482666839062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0705072613910537	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144520989775292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.0409285568294207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prfA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.168219838732621	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0242755190908018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.0291966553571689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"proW"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.177570983105816	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0258146785115946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.031537301693256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0867026828151417	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0379655729384762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0628491482760523	0	0	0	0	0	0	0	1	0	0	0	0	0.0509635890646788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pyrB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.79413255657118e-07	0	0	0.00147950331413097	0	0	0	0	0	0	0	0	0	0	0.0915225141250994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.081638594793738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0077743916543591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00564567615334463	0	0	0	0	0
"rhlB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.99855051540012e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.192493975614025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0321920958788855	0	0	0	0	0	0	0	1	0	0	0	0	0	0.04623173192332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rho"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.182070493814778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rhsA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0837187031625597	0	0	0	0	0	0	0.00129583982282057	0	0	8.18814423464102e-05	0	0	0	0.0701191880518882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.134289572481048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rmlA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0836748315311805	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0374225308656392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0606315335600785	0	0	0	0	0	0	0	0.0509635890646788	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184781754854025	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0985637955904774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.00298207890993883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0426680949447334	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326990000612015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.069479411749496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	0.0516514697159022	-0.0415028476125051	0.0152081375403377	-0.146135720449624	0.0561756785666375	-0.0045742972735344	0.0466767525469489	-0.0960447413585535	0.0533747960117145	0.14805689963991	-0.014689884223545	0.134602874291737	-0.0458324471966232	0	-0.0616543665416342	-0.171035873824745	-0.0203675046896305	-0.178873293136897	0.00400515518374351	0.113101277276538	0.077682904774369	-0.0406959990094023	0.0922812294962226	-0.110480847355851	-0.0200382732958476	-0.129476982371024	-0.096381965442422	-0.107632393033533	0.12346448639137	0.122340699122409	-0.0812573918033136	0	0.0521159666295276	0.0157043099248915	0.0780215015062061	0.00679436618550413	-0.120290570300254	0.0480387386571949	-0.138015633064812	0.0997413463670104	0.017821144504891	-0.136409895860968	0.0339151405443266	-0.0992603695650219	0.0145882272816681	0.161346412718339	-0.152667908943011	0	-0.157426001004445	-0.137059597240967	-0.0319549735370979	-0.104823518757054	-0.0510763653547827	0.0980974063724	0.0197194321599871	0.130266308400677	-0.0111412699083724	-0.0263352412309755	0.00525051914434179	-0.193344129927446	0	0.0349421499418059	0.0440176371398805	-0.0314131152383376	0.137946071729668	-0.0409285568294207	-0.0291966553571689	-0.031537301693256	0	0.081638594793738	0.04623173192332	0	-0.134289572481048	0	0.00298207890993883	-0.069479411749496	1	0.0186770478181251	-0.150547940481692	-0.149514871428025	0.0495800699610777	0.00684137036332148	-0.0152065833782582	-0.105032705108482	-0.0606688595795248	0.0961139727238463	-0.0158357064855883	0.10023807192271	-0.0324447266349736	-0.0595276314846075	0.131318533280935	0.0967710166225411	0.0785403065140977	0.134055081635279	-0.0332931805545717	0.0476561999130919	0.103695765410521	0.0953128088930177	-0.106513269867242	-0.0279177128430901	0.119941686821832	-0.0516167166985779	0.140154302652784	-0.0186340284851064	0.136979180192802	-0.274321049963357	-0.0196092146504556	0.0518647783607335	0.12109327942694	-0.106682258596017	-0.145747092565929	-0.110536933828415	0	0.0147264382836376	-0.0935118838199295	0.0789508341450433	0.0515477022524595	-0.101758104746528	-0.100075596648191	-0.0844641337759693	-0.136098469415529
"rpoD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0228626457005073	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00498357118169409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0186770478181251	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00317495701491045	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0313143484417075	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00764113193983589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.150547940481692	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0662630747040086	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0683779200012307	0	0	0.00849084299572616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.149514871428025	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpsA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0105362548306959	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104049155052799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0495800699610777	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpsR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0126604304724991	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.12392767169198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00684137036332148	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rsmC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.062741288525651	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147796555428631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0152065833782582	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
