"ECB_01992"	"ECB_02003"	"ESCRE1901"	"IS3_insF"	"atpF"	"clpB"	"cls"	"crp"	"dinG"	"dnaX"	"endA"	"fbp"	"fis"	"fruK"	"glgA"	"glgC"	"glgP"	"glpF"	"glpG"	"glpR"	"glpT"	"hupB"	"hypE"	"iclR"	"infB"	"kpsE"	"kpsM"	"kpsT"	"metA"	"metH"	"metJ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nuoN"	"pdhR"	"pta"	"rho"	"rmlA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoS"	"rssB"	"speB"	"sufD"	"wbbC"	"wcaI"	"wzyE"	"ybaL"	"ybhI"	"ybhJ"	"ydiJ"	"yehU"	"yejA"	"yicC"	"yjcF"	"yjhA"	"ykgE"
"sufD"	0	0	0	0	0	0	0	0.078882135734482	-0.0232480271209334	-0.0393197678573152	0	0	0	0	0	0	0.0739188019506531	0	0	0	-0.0491625568092711	-0.0390788739438777	0	-0.0194690300576267	0	-0.0333726940972066	-0.0513831325762773	0	0	0.0621283634343098	0	0	-0.0601958580402141	-0.00871975383910364	0	0	0.00228907966899312	0	0	0	0	0	0	0.0685043493919378	0.0720880243502521	0	0	0	1	0.101033440456618	-0.0306197177688973	0	0	-0.0109282721454302	0	0	0	0	0	0	0	-0.0412060589186974
"wbbC"	0.0554896356363859	0	0.00672341205727318	0	0	-0.0219631557091643	0.110108204661536	0.0625973622646654	-0.113415023260559	-0.104372258569896	0	0	0	0	0	0.0283154824189048	0.0728254367275294	0	0.0544774067010676	0	-0.0606742359349136	-0.0603732819288368	0	-0.0658461364366269	0	-0.0330789953206459	-0.0946812090508356	0.0295228637107215	0.0139700881111662	0.107337743165072	0	0.0977199353703501	-0.0513509192030234	-0.0789707961227592	0.0244380082830519	-0.0109753418048981	0.0201243623971558	-0.0125099235498822	0	0	0	0.0140335246088587	0	0.100570426476382	0.0968521427825264	0.0260151105879379	0	0	0.101033440456618	1	-0.109072903139442	0	0	-0.0793291607376727	0	0	0	0	0	0	0	-0.102884791380158
"wcaI"	0	0	0	0	0	0	0	-0.105886723769775	0.0219387884017795	0.0416069872269503	0	0	0	0	0	0	0	0	0	0	0.0433109707903227	0.0109349993319312	0	0.0441379195464168	0	0	0.0569384246316978	0	0	-0.0151894659177924	0	0	0.0624035921088021	0	0	0	0	0	0	0	0	0	0	-0.031735016919507	-0.0407511670119031	0	0	0	-0.0306197177688973	-0.109072903139442	1	0	0	0	0	0	0	0	0	0	0	0.0439362652250228
"wzyE"	0.0262417369346467	-0.00280292202279041	0	0	0	0.0270021173445638	0	0	0	0	0	-0.00374478656939686	0.0416573053708275	0	0	0	0.0579102399076875	0	0	0.12962250037603	-0.0219819592371487	0.0104662299573577	-0.0282308072434088	0	0	0	0	0	0	0	0.133319926670628	0	-0.0369060505838487	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0188889265673127	0	0	0	0	1	0	0	0.113273174780514	0	0	0	-0.0538967775541249	-0.0142693531110309	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"ybhI"	0	0	0	0	0	0.0131998930485871	0	-0.030429806174101	0	0	0	0	0	0	0	-0.0146405078201232	0	0	0	0	0	0.14917968476196	0	0	0	0.0531354141872357	0	0	0	0	0	0	0	0.14808134765644	-3.63573212105655e-05	0	-0.0308332525826796	0	0	0	0	0	0	-0.0119228567782745	-0.0202319802258316	0	0	0	-0.0109282721454302	-0.0793291607376727	0	0	0	1	0	0	0	0	0	0	0	0
"ybhJ"	0.0183102877369204	0	0	0	0	0.0263247855723047	0	0	0	0	0	0	0.0387469952881407	0	0	0	0.0543863897836549	0	0	0.127633637428318	-0.0189066657561636	0.00737764486665631	-0.0234392319813958	0	0	0	0	0	0	0	0.131904735793501	0	-0.0357122277091169	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0131809060114217	0	0	0	0	0.113273174780514	0	0	1	0	0	0	-0.0509338497383701	-0.00853390380257181	0	0
"ydiJ"	0	0	0	0	0.124410382154544	-0.0271311524106942	0	0	0	0	0.117818245883084	0	0	0	0	0	0	0	0	0	0	-0.00482586867401622	0	0	0	-0.12232430208864	0	0	-0.0142101145513263	0	0	0	0	0	0	0	0	-0.00374464983401808	0	0.0259834969189424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.122622296046103	-0.00695359478476741	0	0	0
"yehU"	0.119310967898933	0	0	0	-0.0150470652948395	0.0878160806551717	0	0	0	0	-0.0074782263190532	0	0	0.00282505715523722	0	0	0	-0.000528517695342058	0.0331629045572043	0	-0.0821221737145783	0.0136571118078668	-0.0636499057110188	0	0	0.100972845997051	0	0.144636117780809	0	0	0	0	-0.0993739262186034	0	0	0.0542041031213831	-0.0591090614731861	0.0725673306340248	-0.0260498921967719	-0.00645017842213947	-0.0198732505996391	0	0	0	0	0.134106005810673	-0.0575741613817664	0	0	0	0	0	0	0	0	0	1	-0.0130556138865103	0	0	0	0
"yejA"	0	0	-0.00329685413535497	0	0.13648738261793	-0.0373213184846625	0	0	0	0	0.131793433625424	0	0.00274583256333436	0	0	0	0	0	0	0	0	-0.024789359723648	0	0	0	-0.128067881324381	0	0	-0.0237854244065213	0	0	0	0.000139527169488293	0	0	0	0	-0.0193698026543263	0	0.0468414488811041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122622296046103	-0.0130556138865103	1	-0.0142829511191771	0	0	0
"yicC"	-0.0118589128945818	0.100767648728528	0.00950520717815494	0	-0.015080701261531	0	0	0.0182860898491387	0	0	-0.0123093104410747	0.100395923739968	-0.07303724860988	0	0.103991329296135	0.0200865520957165	-0.124867068066018	0	0.00507073667372713	-0.0632397712228763	0	0	0.0242819387428642	-0.0619660318252494	-0.0840937298627472	0.0529326361674818	0	0	0.0210920046563922	0	-0.0666094246227956	0.0983764166608971	0.00572254972689541	0	0.0148195324079165	-0.0620775452795385	-0.0114420181799585	0	-0.00104464533750182	-0.0875271670289417	0	0	0	0	0	0	0.0209375977035845	0	0	0	0	-0.0538967775541249	0	0	-0.0509338497383701	-0.00695359478476741	0	-0.0142829511191771	1	0.0950984374793448	-0.0816892265905947	0
"yjcF"	0	0.0670666044492147	0	0	0	0	0	0	0	0	0	0.0675010597571302	-0.081216063587445	0	0.0336137563208332	0	-0.131159869705843	0	0	-0.0333191545054971	0	0	0	-0.0149445128202545	-0.0423553667286766	0.0688581353557142	0	0	0	0	-0.0396981246539332	0.0156671177885445	0.00962757878369698	0	0	-0.0211967993083644	-0.00869365143769373	0	0	-0.0564033193480456	0	0	0	0	0	0	0	0	0	0	0	-0.0142693531110309	0	0	-0.00853390380257181	0	0	0	0.0950984374793448	1	-0.0223859640379241	0
"yjhA"	0	-0.00494727255850221	0	0	0	0	0	-0.0663397029267983	0	0	0	-0.00648615065917408	0.118411164544374	0	0	0	0.0775372467547735	0	0	0	0	0	0	0.0584060965638676	0.0599351944285711	-0.000827130160600975	0	0	-0.0266490715389932	0	0	0	0	0	0	0.0777178154048851	0	0	0	0.0139229945719528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0816892265905947	-0.0223859640379241	1	0
"ykgE"	0	0	0	0	0	0	0	-0.104733779208086	0.0374826522228631	0.0512822921282054	0	0	0	0	0	0	-0.00361572324509316	0	0	0	0.0494440817127411	0.0215191342655198	0	0.0539144131505377	0	0	0.0620062047251108	0	-0.0097707217273481	-0.0298746253221636	0	-0.00533040052749424	0.0638326863975726	0	0	0	0	0	0	0	0	0	0	-0.0420288550086355	-0.0487307370773743	0	0	0	-0.0412060589186974	-0.102884791380158	0.0439362652250228	0	0	0	0	0	0	0	0	0	0	1
