Identifier, Size, m5, p2, p4, p1, m6, p5, m1, m2, m3, m4, p3, p6
gss, 1526.3, , , , , , , , 16750:1:1:0;6750:1:4:0.0416667, 48750:1:1:0, 53250:1:1:0;28250:1:1:0, 40750:1:1:0;25250:1:1:0;12250:2:2:1, 15750:1:1:0;7250:1:1:0;22750:3:3:0.889908
gst, 567.7, , , , , , , 36750:1:1:0, 3250:2:3:0.909091, 17750:1:1:0;56750:3:5:0.724138, 44250:3:4:0.409091;21250:2:2:1, 29750:2:3:0.9, 33250:1:1:0
guaB;guaA, 2541.0, , , , , , , 45750:3:3:0.746032, 9750:1:4:0, , 50250:1:1:0;10250:2:2:1, , 22750:1:1:0;35750:1:1:0
guaC, 897.0, , , , , , , 30250:3:3:0.508475, , , 50250:1:1:0;10750:2:2:1, 35750:1:1:0, 13750:2:2:1
gudX;gudP;gudD, 3262.7, , 39250:2:2:1, , , , , 55750:3:3:0.68;32750:1:1:0;37250:3:3:0.490566;25250:2:2:1;46250:1:1:0;32250:3:3:0.632075, , , 7750:2:2:1;42250:1:1:0;10250:1:1:0;41750:3:4:0.150943;14250:2:2:1, 43250:1:1:0;8750:1:1:0;46250:1:1:0.0357143;30750:1:1:0;48750:1:1:0, 42250:3:4:0.0677966;4250:2:2:1;23750:1:1:0;26250:1:1:0;19750:1:1:0.00869565
gutQ;ygaA, 1984.0, , , , , , , 52250:1:1:0;41250:1:1:0, 12750:1:4:0.03125, 35750:2:2:0.989796;44250:2:2:0.932584, 43750:1:1:0;44250:1:1:0, 39250:2:3:1;31250:1:1:0;25750:1:1:0, 750:1:1:0.0273973
gyrA, 2137.7, , , , , , , 43750:1:1:0;34250:1:1:0;28250:3:4:0.426471;52250:1:1:0, 11750:1:1:0;14250:1:4:0.0645161, , 45250:3:3:0.473684;18750:1:1:0, 10750:1:1:0;40750:2:3:1;16750:1:1:0, 17750:1:1:0;5250:2:2:1;3750:1:1:0;37250:3:3:0.922414
hcaR, 796.7, , , , , , , 49250:1:1:0.0338983, 15750:1:1:0, , 13250:1:1:0, 10250:1:1:0, 36250:1:1:0
hcaT, 980.0, , , , , , , 39750:3:4:0.56338, 5750:2:3:1;25750:2:3:0.902439;9250:1:1:0, , 46750:1:1:0, 23250:1:1:0, 47750:3:4:0.0705882;50250:3:4:0.116883
hcr;hcp, 2137.7, , 39750:2:2:1, , , , , 46750:3:3:0.605263;32250:1:1:0;50250:1:1:0;30250:1:1:0, 15250:2:3:0.97619, 49250:1:1:0, 34250:3:3:0.644068;16250:2:2:1;35250:1:1:0, 14250:2:2:1;17750:2:3:1;37250:1:1:0;10750:1:1:0;40250:1:1:0;22750:1:1:0, 29750:1:1:0;46250:1:1:0;31750:1:1:0.0120482;3250:1:1:0;35250:2:3:0.927083;4250:1:1:0.00917431;41250:1:1:0;29250:1:1:0
hda;uraA, 1734.7, 19250:1:1:0, , , , , , 28750:1:1:0;26250:2:2:1, 15250:2:3:0.965517, 44750:2:2:0.89, 18750:1:1:0;22250:2:2:1, 40750:2:6:0.909091;21750:1:1:0;40750:2:3:1;13250:1:1:0, 750:1:1:0;17250:1:1:0;43250:1:1:0;60750:3:6:0.0576923;1750:1:1:0;43250:1:1:0.0120482;11750:1:1:0;47250:1:1:0
hdeA, 369.3, , , , , , , , , 36750:1:1:0, , , 6750:2:2:0.993827;17750:1:1:0
hdeB, 365.3, , , , , , , 50750:1:1:0, , , , , 11750:2:2:1
hdeD, 538.0, , , , , , , 39250:1:1:0, , , 56750:1:1:0, , 34750:1:1:0;26750:1:1:0
hdfR, 756.7, , , , , , , , , 5250:2:2:1, , , 19250:1:1:0
hdhA, 713.0, , , , , , , , , , 35250:1:1:0, 58750:3:6:0.851852;35750:1:1:0, 3250:1:1:0;16750:1:1:0.0212766;17250:2:2:0.991071;45750:3:4:0.0648148
helD, 1608.7, , , , , , , 30250:3:3:0.706897, 8250:1:1:0;9250:1:4:0.0666667;5750:1:1:0, 47250:1:1:0, 55750:1:1:0, 34250:1:1:0.04;13250:1:1:0;28750:2:3:1;16250:1:4:0;15250:1:1:0, 3750:1:1:0;40250:3:4:0.0784314;34750:3:3:0.897436
hemB, 857.0, , , , , , , , , , 10250:2:2:1, 3250:2:2:1, 46250:1:1:0;13250:1:1:0;53250:3:6:0.736264;44750:1:1:0
hemC;hemX;hemY;hemD, 3250.0, , , 39750:2:2:0.977273, 20750:3:6:0.457143, , , 56250:1:1:0;31250:3:3:0.574713;34750:1:1:0;29750:1:1:0;35250:1:1:0;53750:3:4:0.535714, , 58250:3:5:0.452632;21250:3:5:0.309859;37750:1:1:0, 43750:3:4:0.125, 45750:1:1:0;14250:1:1:0.166667;26750:1:1:0;10250:1:1:0, 60750:3:4:0.0431034;16250:1:1:0.00877193;29250:3:3:0.904762;27250:1:1:0.00793651;9750:1:1:0;35750:1:1:0;8750:1:1:0;31250:1:1:0.0150376;43750:2:2:0.932432;35750:1:1:0.00793651;42750:1:1:0.00740741;34750:1:1:0;31750:3:3:0.898876;23750:1:1:0.00649351;17250:2:2:0.993289
hemF;amiA, 1464.0, , , , , 34750:1:1:0, 27750:3:4:0.3, 29250:3:4:0.338235;30750:3:3:0.538462, 52750:1:4:0;26250:1:1:0, 48250:1:1:0, , 26750:1:1:0;47250:1:1:0;34250:1:1:0;18750:1:1:0;43750:2:3:1;41250:1:1:0, 24750:2:2:1;35250:1:1:0;53750:1:1:0;6750:1:1:0;46250:1:1:0.00961538;1250:3:4:0.0882353
hemH, 829.7, , , , , , , , , 58250:3:5:0.397059, , 17750:1:1:0;33750:1:1:0, 
hemK;prfA;hemA;kdsA;ychA;ychQ, 4197.0, , , , 10250:1:1:0, , , , 18750:1:1:0;37750:2:3:1, 50250:2:2:0.882353, 54250:3:3:0.735294, 50750:2:3:1;24750:1:4:0;14750:1:1:0, 28250:3:4:0.0686275;2750:1:1:0;28750:1:1:0;11750:1:1:0
hemL, 1098.0, , , , , , , 33250:1:1:0, , , , 40750:2:3:1;58750:3:6:0.409091;11250:1:1:0, 750:1:1:0;750:1:1:0;19750:1:1:0
hemN, 1169.7, , , , , , , 51250:1:1:0;39250:3:3:0.559524, 14750:1:4:0.0793651, , , 7250:2:2:1, 38250:1:1:0;32250:2:3:0.941606
hepA;rluA, 2857.7, , , 43250:2:2:0.979167, , , , 53250:1:1:0.0285714, , 34750:1:1:0;50750:1:1:0;43750:2:2:0.95;57250:1:1:0;58250:3:5:0.513274;46250:1:1:0, 38250:3:4:0.395349;38250:1:1:0, 6250:2:2:1;7750:1:1:0;19250:1:4:0;19250:1:4:0;10250:1:1:0, 11750:1:1:0;34250:2:3:0.95098;750:1:1:0;25750:1:1:0;60750:3:6:0.0649351;27250:2:3:0.95283;51750:1:1:0
hflK;hflX;hflC, 2860.0, , 27750:1:1:0, 45750:2:2:1, , , , 28250:1:1:0;32750:1:1:0;31250:1:1:0, 19750:2:3:1, 51250:3:5:0.916667;36750:1:1:0;39750:3:5:0.11828;43250:2:2:0.863014, 54750:1:1:0;33750:3:4:0.377358;32250:1:1:0;3750:2:2:1;30250:1:1:0;25750:2:2:1, 19750:1:1:0;17250:2:3:1, 46250:1:1:0;16750:1:1:0;41750:1:1:0;1750:1:1:0;4750:2:2:1
hfq, 325.0, , , , , , 26250:3:3:0.452055, , 9250:1:1:0, , , 23250:1:1:0, 
himD, 319.7, , , , , , , , , 48750:2:2:0.925373, 43750:1:1:0;45750:3:3:0.578947, , 
hipA;hipB, 1341.0, , , , , , , 40750:1:1:0;34250:3:3:0.642857;51250:1:1:0;49750:1:1:0;55250:1:1:0, , , , 32750:1:1:0, 24750:2:2:1;16250:1:1:0
hisD;hisF;hisG;hisA;hisB;hisC;hisH;hisI, 5471.0, 44250:1:1:0, , , , , , 44250:3:3:0.638298;43250:3:3:0.555556, 33750:1:1:0, 44750:2:2:0.860465;52750:1:1:0, 12750:1:1:0;26750:1:1:0;38250:1:1:0;14250:2:2:1;25750:2:2:1, 7250:1:1:0;27250:2:3:1;9750:1:1:0;12250:1:1:0, 54250:1:1:0;750:1:1:0;8750:1:1:0;8750:1:1:0;1250:3:4:0.0746269;51250:1:1:0;33750:1:4:0.015873;9750:2:3:0.924051;45250:3:4:0.0641026;4750:2:2:1;35250:1:1:0
hisL, 143.0, 40250:2:3:0.959184, , , 53250:2:3:1, , , , , , , , 33250:1:1:0
hisM;hisP;hisQ;hisJ, 2507.0, , , , , , , 50250:1:1:0, 22250:1:4:0, 46250:1:1:0, 41250:1:1:0, 21250:1:4:0;24750:2:3:1;44250:1:1:0;44250:1:1:0;38750:1:1:0;39750:1:1:0, 43750:1:1:0;35750:1:1:0.00847458;4750:2:2:0.99115;42750:1:4:0;16750:1:1:0;13250:1:1:0
hlpA;rnhB;lpxA;lpxB;accA;fabZ;dnaE;lpxD, 7091.0, , , , 250:1:1:0, , 31250:3:3:0.703297, 40750:3:3:0.612903;33250:1:1:0;45750:3:4:0.337079;39250:1:1:0;37750:1:1:0;43250:3:3:0.584906, 22750:1:1:0;24250:1:4:0.0277778;15750:1:1:0;28250:1:1:0, 47250:1:1:0;48250:1:1:0;40250:1:1:0;54250:1:1:0.0108696;53250:1:1:0, 48250:1:1:0;12750:2:2:1;35250:3:3:0.906977, 5250:2:2:1;24750:1:4:0;45250:1:1:0;23750:2:3:1;7250:1:1:0;20750:1:1:0;31250:1:1:0;40250:1:1:0;41250:1:1:0;33250:1:1:0;16250:1:1:0;42250:2:3:1;32250:1:1:0;25750:1:4:0;8250:1:1:0;38250:1:1:0;29750:1:1:0, 20250:2:2:0.991736;44750:3:4:0.047619;37750:1:1:0;60250:3:4:0.075;6750:1:1:0;16250:1:1:0.0107527;30250:1:1:0;54750:1:1:0.0106383;43750:1:1:0;8750:1:1:0.00970874;14250:1:1:0;750:1:1:0;47250:1:1:0;35250:2:3:0.956522;19250:1:1:0.00869565;31250:3:3:0.853659;4250:2:2:1
hmpA, 1023.7, , , , , , , , 7250:1:4:0, 38750:1:1:0, 20250:2:2:0.972973, 8750:1:1:0;43750:1:1:0, 47750:1:1:0;30250:1:1:0
hnr, 866.3, , , , , , , 43750:3:3:0.425;53250:1:1:0;38250:1:1:0, , , , 34250:1:1:0, 23750:1:1:0
hns, 431.7, , , , , , , , , , , , 11250:2:2:0.99115
hokA, 152.3, , , , , , 17250:1:1:0;17250:1:1:0, , 21250:1:1:0, , , , 
hokB;mokB, 261.3, , , , , , , , , , 29750:1:1:0, , 
hokD, 221.7, , , , 33750:1:1:0, , , 30750:3:3:0.666667, , , , , 19250:1:1:0;36250:1:1:0
hokE, 186.7, , , , , , , , , , , , 
holE, 216.7, , , , , , , , , , , , 
hpaA;hpaX, 1832.0, , , , , , , 52250:1:1:0;28750:3:3:0.632911, 15250:2:3:1;9250:1:4:0;27750:1:1:0, 40750:1:1:0, 55250:1:1:0;26250:1:1:0;57750:3:4:0.171053, 40750:1:1:0;59250:3:6:0.173913, 750:3:3:0.902439
hpaC;hpaB, 1709.7, , , , , , , 27750:3:4:0.317073;42250:1:1:0;47250:1:1:0, 17750:1:1:0;13750:1:1:0;11250:2:3:0.95, , 45250:3:3:0.6875;53750:1:1:0;20750:2:2:1;56750:3:6:0.16;13250:1:1:0;10250:2:2:1, 26250:1:1:0;9750:2:2:1, 34750:2:3:0.926316;33250:1:1:0.015625;31250:1:1:0;39250:1:1:0;1250:1:1:0;27250:1:1:0
hpaI;hpaH;hpaG;hpaF;hpaE;hpaD, 4437.0, , 20250:1:1:0, , 53750:3:6:0.5, , , 41750:3:4:0.482143;52250:3:3:0.683333;56250:3:3:0.558824;57750:3:6:0.238095;35250:3:4:0.418605;49750:1:1:0.0273973, 8250:2:3:0.955556;26250:1:1:0;23250:2:3:1, 38750:3:5:0.7, 26250:1:1:0;59250:3:6:0.119048;34750:1:1:0;12250:2:2:1;57750:3:4:0.184211;54750:1:1:0;47250:3:3:0.765957;38750:1:1:0;51750:1:1:0, 10250:1:1:0;17250:2:3:1;39750:1:1:0;41250:1:1:0;5250:1:1:0;20250:1:1:0, 16750:2:2:1;49250:3:6:0.635514;36250:2:3:0.933824;4250:1:1:0;12250:2:2:1;20250:1:1:0.00775194;62750:3:6:0.225352;17250:2:2:1;46750:3:3:0.913043
hpaR, 445.7, , , , , , , , , , , , 53250:3:6:0.724638
hpt, 512.0, , , , , , , , , , , 45250:1:1:0, 
hrpA, 3059.3, , , , , , 25250:1:1:0, 32250:3:3:0.573171;30750:1:1:0, 7250:1:4:0;15750:1:1:0;19250:1:1:0, 37250:3:5:0.692308, , , 4750:2:2:1;8750:1:1:0;7250:2:2:1;38250:1:1:0;36750:1:1:0
hrpB, 1835.3, , , , , , , , 25250:2:3:1;43750:1:1:0, 50750:1:1:0;41250:2:2:0.960526;40250:1:1:0;53250:3:5:0.0361446;50750:3:5:0.891566, 14250:2:2:1, , 41250:1:1:0.0114943
hrsA;ybgG, 3561.3, , , , , , , 39250:1:1:0;55750:3:3:0.641509;36250:3:4:0.380952;33750:3:3:0.691489, 20250:1:4:0;20750:1:4:0.0714286;15750:2:3:0.952381;21250:1:1:0;12750:1:1:0, 58250:3:5:0.0963855;52750:1:1:0;47250:1:1:0, 13250:2:2:1;29250:2:2:1;45250:3:3:0.678571;12250:2:2:1;6250:3:4:0.236364;55250:3:3:0.6875;46250:1:1:0;30250:2:2:1, 58250:3:6:0.56;28750:2:3:1;28750:2:6:0.892857;38250:1:1:0;43250:1:1:0;26250:1:1:0;9250:1:1:0;17750:1:1:0, 750:1:1:0;12250:2:2:1;40750:3:4:0.0857143;45250:1:1:0.0104167;18250:1:1:0;15250:2:2:0.989796;750:1:1:0;21750:2:2:0.989583;15750:1:1:0;20750:2:2:1;19750:1:1:0;32750:3:4:0.0930233;13250:1:1:0;25750:1:1:0;17250:2:2:1
hscB;iscU;hscA;iscS;pepB;yfhJ;iscA;fdx, 5020.7, , , , , , , 39250:3:3:0.413793;53750:1:1:0;29250:3:3:0.628571;38750:3:3:0.712121;32250:3:3:0.421687;48750:1:1:0;24250:1:1:0;26750:3:3:0.478723, 21250:1:1:0;8750:1:4:0;32750:2:3:1;19750:1:4:0;36250:1:1:0;19750:1:4:0, 44750:2:2:0.876289;53750:3:5:0.822222;43250:2:2:0.9;58250:3:5:0.428571, 19750:2:2:1;7250:2:2:1;3750:3:4:0.292308;57750:1:1:0.015625;31750:2:2:1, 6250:2:2:1;14250:1:1:0;29750:2:3:1;13250:2:2:1;35250:2:3:1;41250:2:3:1;39750:1:1:0, 6750:1:1:0.0151515;24750:2:2:1;17250:1:1:0;17250:2:2:0.991597;23750:1:1:0.0194175;8750:1:1:0;1750:1:1:0;8250:1:1:0;4250:1:1:0;35250:1:1:0;750:1:1:0
hscC, 1377.7, , , , , , , 37250:3:3:0.576923;50250:1:1:0, , , 58250:3:4:0.2;43250:1:1:0, 40750:1:1:0;35250:1:1:0, 23250:1:1:0.0108696;30250:3:4:0.106796;21750:1:1:0;28750:1:1:0
hsdR, 2774.7, , , 6250:1:1:0, , , , 57250:3:6:0.257576;21250:3:4:0.4;28750:1:1:0;23750:1:1:0;26750:1:1:0;30250:3:3:0.506849;45750:3:3:0.431034;32250:3:3:0.441176, 6250:2:3:0.93617;27750:1:1:0, 42250:1:1:0;38750:1:1:0, 6750:2:2:1;52250:1:1:0.0163934, 29750:1:1:0;8250:1:1:0;52750:2:3:0.96;40250:1:1:0;27750:1:1:0;5250:2:2:1;49250:1:1:0;15750:1:1:0, 42250:3:4:0.025641;26750:1:1:0;4750:1:1:0;7250:1:1:0;44750:3:3:0.904459;25250:1:1:0.0175439;54250:1:1:0;35250:2:3:0.941606
hsdS;hsdM, 2431.7, 9750:2:2:0.978723, , 37250:2:2:1, 25250:1:1:0;33250:2:2:1;26250:1:1:0, , 13750:2:2:1;21250:1:1:0;16250:1:1:0, 49750:3:4:0.373494;13750:1:1:0;39250:3:3:0.571429;27250:1:1:0;32250:1:1:0;8750:1:1:0;26750:2:2:1, 9250:1:4:0;29250:2:3:0.965517, , 45250:1:1:0;26250:1:1:0;32750:1:1:0;13250:1:1:0;30250:1:1:0;12250:2:2:0.981481, 40750:2:3:1;29750:2:2:1;32750:2:3:1;17250:1:1:0;12250:1:1:0, 43750:3:4:0.125;2750:1:1:0;750:1:1:0;9250:1:1:0;4750:1:1:0;5250:2:2:1;57250:3:6:0.704545
hslJ;ydbJ, 736.0, , , , , , , , , 36750:1:1:0.0108696, , 25750:1:1:0, 54750:1:1:0;18250:1:1:0;17750:1:1:0
hslR;hslO;yrfG;yrfF, 3331.7, , , , , , , 48250:3:3:0.534247;49750:1:1:0;32750:1:1:0;34250:3:4:0.491803, 9250:1:1:0, , 26250:1:1:0;46750:1:1:0;39250:1:1:0, 10250:1:1:0;41250:1:1:0;25250:2:3:1;58250:3:6:0.820513;27750:1:1:0;45750:1:1:0, 11250:1:1:0.00694444;4250:1:1:0;750:1:1:0;12750:1:1:0.0105263;29250:1:1:0.00666667
htpG, 1545.0, , , , , , 29250:1:1:0, 32750:1:1:0;38250:1:1:0, , , 42250:3:4:0.349206, 45250:1:1:0, 24250:1:1:0;19750:1:1:0;23750:1:1:0;12250:1:1:0;20250:2:2:1
htpX, 788.0, , , , , , , 44750:3:4:0.5, , , , 13750:1:1:0;21750:1:4:0, 10750:1:1:0
htrB, 818.3, , , , , , , 53250:1:1:0;54250:1:1:0;41250:3:3:0.478873, , , 25750:2:2:1, , 
htrC, 531.0, , , , , , , , , , 46250:1:1:0;38250:3:4:0.151515, , 17250:1:1:0
hupA;yjaH, 856.3, 54250:1:1:0, , , 9750:1:1:0, , , 53750:3:4:0.3375;29250:3:4:0.527778;26250:2:2:0.936508;21250:3:4:0.387097, 11250:1:1:0, 27250:2:2:1, 50250:1:1:0;50250:3:4:0.384615, 39750:1:1:0, 19250:1:1:0;20750:2:2:1;17750:1:1:0.0070922;32750:1:1:0;20250:1:1:0;17750:1:1:0;21250:1:1:0
hupB, 303.0, , , , 8750:2:2:1, , 14750:1:1:0, , , 44750:2:2:0.855072, 12750:1:1:0, , 
hyaB;hyaC;hyaA;hyaF;hyaD;hyaE, 4331.7, , , , , , , 38250:1:1:0;30250:3:3:0.647059;30250:3:3:0.675325;38250:1:1:0;32250:3:3:0.671429;32750:3:3:0.634615;43750:1:1:0, 27750:1:1:0;2750:2:2:1, , 6750:2:2:0.952381;50750:3:4:0.228571;50250:3:4:0.121951;35250:1:1:0;9750:1:1:0;57750:3:6:0.314286;58750:3:6:0.166667;45250:3:3:0.644444, 19750:1:1:0;33750:2:3:1;24250:1:4:0;6750:2:2:1;35250:2:3:1;29750:2:3:1, 10750:2:2:1;16250:1:1:0;16250:1:1:0;22750:1:1:0;750:1:1:0.01;29750:1:4:0.0106383;11250:1:1:0;43250:3:4:0.0731707;3250:1:1:0.01;43750:3:4:0.0493827;1750:1:1:0;38250:1:1:0;37750:3:3:0.901408;8750:1:1:0;3250:1:1:0
hybG;hybF;hybE;hybD;hybC;hybB;hybA, 4267.7, , , , , , , 41250:3:3:0.526316;44750:3:4:0.565217;49750:1:1:0;54250:3:4:0.544444;32250:1:1:0, 14750:1:4:0;31750:2:3:0.971014;17750:1:4:0;23750:1:4:0.0666667;11750:1:1:0.0119048, 57250:3:5:0.902174;57250:3:5:0.87;37750:1:1:0;43250:1:1:0, 45750:1:1:0;53250:1:1:0;55250:1:1:0;25250:1:1:0;57750:3:4:0.22093;28750:1:1:0, 46250:1:1:0;50250:1:1:0;24750:1:4:0;27750:1:1:0;10250:2:2:1, 10250:2:2:1;26750:1:1:0;24250:2:2:0.993197;49750:3:4:0.056962;4750:2:2:0.993421;41750:1:1:0;21750:1:1:0.00595238;51250:3:4:0.0909091;1750:1:1:0
hycA, 455.7, , , , , , , 27250:3:4:0.450867, , , , , 
hycD;hycE;hycF;hycG;hycB;hycC;hycH;hycI, 5646.7, , , , , , , 28750:1:1:0;43250:1:1:0;29750:1:1:0;30250:3:3:0.625;59250:3:6:0.0217391;39750:3:3:0.57037;27750:3:4:0.398305;53750:3:6:0.151899;30250:3:3:0.613445, 4250:1:1:0;30250:1:1:0, 47250:1:1:0;50750:2:2:0.936709;43750:1:1:0;43250:3:5:0.0849057;49750:1:1:0, 14250:2:2:1;56250:1:1:0;20250:1:1:0;16750:1:1:0;43750:1:1:0;54250:3:3:0.755556;43250:3:4:0.243902;54750:1:1:0;55250:1:1:0, 17250:1:1:0;50750:2:3:1;4250:1:1:0;35250:2:3:1;17250:1:4:0;23750:1:1:0;28750:1:1:0;42750:1:1:0;54250:1:1:0;42250:2:3:1;37250:1:1:0;43750:1:1:0;17250:1:1:0, 19750:2:2:0.99187;6750:1:1:0;44750:3:4:0.0852713;12750:2:2:0.989247;7250:1:1:0;36750:1:1:0.00934579;9250:2:2:1;10750:2:2:1;35750:1:1:0.0131579;17250:2:2:1;6750:2:2:1;8250:1:1:0;43750:3:4:0.0869565;60750:3:6:0.114286;30250:1:1:0
hydN, 507.7, , , , , , , , , 46250:1:1:0;40750:1:1:0.0958904, 11250:1:1:0, 13250:1:1:0, 
hyfB;hyfA, 2082.0, , , , , , , 27250:1:1:0;30750:1:1:0;45750:3:4:0.396552, 4250:1:4:0.0294118;6750:1:1:0;8250:2:3:1;25250:2:3:0.951613, 56750:3:5:0.885965;45750:1:1:0;43250:1:1:0, 45250:1:1:0;10250:1:1:0;12250:2:2:1, 19250:1:4:0;51250:1:1:0;21750:1:4:0, 8750:2:2:1;11250:2:2:0.991304;25250:1:1:0
hyfJ;hyfI;hyfH;hyfG;hyfF;hyfE;hyfD;hyfR;focB, 7575.3, , , , , , , 2750:1:1:0;38250:1:1:0;45750:3:4:0.434211;32250:1:1:0;53250:1:1:0;48750:1:1:0, 24250:1:4:0.03125;11750:2:3:0.962963;7250:1:4:0.111111;20750:1:4:0;18250:1:1:0;14750:1:4:0;9250:1:4:0.0344828;26250:2:3:1, 53250:1:1:0.0147059;53750:1:1:0, 32750:1:1:0;43750:1:1:0;32250:1:1:0;32250:1:1:0;25750:1:1:0;45750:1:1:0, 25750:1:4:0;19750:2:3:1;8250:2:2:1;21750:1:4:0;8250:1:1:0;17250:1:4:0;47250:1:1:0;16250:1:4:0;45250:1:1:0;7750:1:1:0;35750:1:1:0;40750:1:1:0;9250:1:1:0;35250:2:3:1;43750:1:1:0, 5750:1:1:0;11250:1:1:0.00833333;22250:2:2:1;20250:1:1:0;1750:1:1:0;24750:2:2:0.9875;4750:2:2:0.988636;36750:1:1:0;7750:1:1:0;9250:1:1:0.00819672;17750:2:2:1;6250:1:1:0;44750:3:4:0.0612245;22250:2:2:1;38250:1:1:0;30250:1:1:0;30250:3:4:0.0629371;39750:1:1:0;15750:1:1:0;25750:2:2:1;58250:3:6:0.704348
hyi;gcl, 2076.7, , , , , , , 30250:3:3:0.597403;26250:2:2:1, 1750:2:2:1, 45750:1:1:0;53750:1:1:0;55750:3:5:0.842697, 9750:1:1:0;57750:3:6:0.2;52750:3:4:0.194444;50250:1:1:0, 23750:1:1:0;38250:1:1:0;7750:1:1:0;16750:1:1:0;15750:1:1:0;30750:1:1:0;10750:1:1:0, 40750:2:3:0.94898;10250:2:2:1;5250:1:1:0.00584795;39750:1:1:0;19750:1:1:0
hypF, 1824.0, , , , , , , 37250:1:1:0;27750:3:4:0.35461, 3250:1:1:0;19250:1:4:0;18750:1:1:0, 42250:1:1:0, 12250:2:2:1, 27250:2:3:1, 57750:3:6:0.11;13750:2:2:1;10250:2:2:1;17750:1:1:0;6750:2:2:0.990476
iap, 899.0, 12250:3:3:0.972093, , , , , 24250:1:1:0, 52250:3:4:0.298969, , , 29250:1:1:0;41250:1:1:0, 38750:1:1:0, 7250:2:2:1;25750:2:2:1;19750:1:1:0;27750:1:1:0
ibpA, 422.0, , , , , , , 51250:1:1:0, , , , 30750:1:1:0, 53750:3:6:0.138122;45750:3:4:0.0925926
ibpB, 412.0, , , , , , , , , 49250:1:1:0, , 23750:1:1:0, 
icdA, 1033.7, , , , , , , , , 58250:3:5:0.654545, , , 
iciA, 719.3, , , , , , , , , , 7250:2:2:1, , 31750:1:1:0.00952381
iclR, 740.0, 4250:2:3:0.965753;13250:1:1:0, 8750:2:2:1, 2750:1:1:0, 11250:2:2:1;9750:1:1:0, 23250:1:1:0;23750:2:3:0.944444, 2250:2:2:1, 13250:2:2:1, 31750:2:3:0.978723;2750:2:2:1;3750:1:1:0;25250:2:3:0.971429;11750:1:4:0.0434783, 5750:1:1:0;14250:2:2:1;8250:1:1:0, 51750:1:1:0;1250:2:2:1;7250:2:2:1, 19250:1:4:0;3750:1:1:0;3250:2:2:1;13250:1:1:0, 8250:1:1:0.00819672;1750:2:2:0.992857;6250:1:1:0
idi, 529.7, , , , , , , , , , , , 11750:1:1:0
idnK, 543.7, , , , , , , 45750:1:1:0, 11750:1:1:0, 53250:1:1:0, 54250:1:1:0, 43250:1:1:0, 42750:1:1:0
idnT;yjgR;idnD;idnO;idnR, 4746.3, , , 49750:2:2:1, , , , 45250:3:4:0.318681;42750:1:1:0;49750:3:4:0.28;49750:3:4:0.4625, 750:1:4:0.136364;28250:1:1:0;3250:2:2:1, 38250:2:2:1;35250:2:2:1;47250:1:1:0;34750:2:2:0.946237;51250:1:1:0, 59250:3:3:0.648649;42750:1:1:0;54750:3:4:0.733333;53250:1:1:0.0178571, 16750:1:1:0.0689655;25250:1:4:0;17250:1:4:0;21750:1:4:0;18250:1:4:0;25750:1:1:0;32750:1:1:0;43750:1:1:0;5250:2:2:0.764706;13250:2:2:1, 35250:2:3:0.935185;42250:3:4:0.0675676;20250:1:1:0;16250:1:1:0.00729927;19750:2:2:1;6250:1:1:0;55750:1:1:0.0111111;28250:3:3:0.816327;16250:1:1:0;32750:3:4:0.0689655;35750:1:1:0;750:1:1:0
ilvC, 1182.3, , , , , , , 49750:1:1:0, , 35750:2:2:1, , 31750:1:1:0, 10250:1:1:0;27750:2:3:0.982456;60750:3:4:0.05;36250:1:1:0
ilvI;ilvH, 1797.0, , , , , , , 28750:3:3:0.56338, 16250:1:1:0, , 35750:1:1:0;41750:1:1:0;26250:1:1:0, 46250:1:1:0;15250:1:1:0;58250:3:6:0.217391;41250:1:1:0, 16750:2:2:0.985185;25250:2:2:1
ilvL, 171.0, 13750:1:1:0, 14250:2:2:1, , , , , , , 55750:3:5:0.818182, , , 35250:1:1:0
ilvM;ilvE;ilvG;ilvA;ilvD, 4936.3, , , , , , , 50750:1:1:0;44750:3:4:0.39726;21250:3:4:0.428571, 19750:2:3:1;22750:2:3:0.9375, 46250:1:1:0;40250:3:5:0.0636943;51250:1:1:0.0193548;45750:1:1:0;38750:3:5:0.128571;42750:1:1:0, 41250:1:1:0, 30250:1:1:0;29750:2:3:1;8250:1:1:0;54750:1:1:0, 4750:2:2:1;19750:1:1:0;750:1:1:0;9250:1:1:0.00628931;10250:1:1:0;11250:1:1:0.00826446;60750:3:4:0.140741;60750:3:6:0.0242424;44250:3:4:0.0833333
ilvN;ilvB, 1622.3, , , , , , , , , 48250:1:1:0, , , 50250:1:1:0;21750:1:1:0;62250:3:6:0.516129;44750:3:3:0.880342;9250:1:1:0.0104167;10750:2:2:1
ilvY, 784.3, , , , , , , 32250:1:1:0, , 50750:2:2:0.9625, , , 41750:1:1:0.0121951;42750:3:3:0.88785;6750:1:1:0
inaA, 613.0, , , , , , , 59250:3:6:0.0632911, , , , , 31250:3:3:0.875;42250:3:4:0.104;32750:1:1:0;55250:1:1:0
infA, 271.7, , , , 44750:2:3:1, , , , , 23250:2:2:1, 6750:1:1:0, , 
