STRAIN ID	STRAIN SHORTHAND	ANCESTOR	GENOTYPE	PURPOSE IN THIS STUDY	NOTES
ySAK0343		L041	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0344		L041	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	Excluded
ySAK0345		L041	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0346		L041	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0347		L048	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0348		L048	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0349		L048	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0350		L048	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0039		L094	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0040		L094	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	Excluded
ySAK0351		L094	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0352		L094	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0353		L094	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	Excluded
ySAK0354		L094	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0041		L013-8-1	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0355		L013-8-1	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0356		L013-8-1	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	Excluded
ySAK0357		L013-8-1	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0358		L013-8-1	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0359		L013-8-1	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0360		L096a-4-1	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0361		L096a-4-1	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0362		L096a-4-1	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0363		L096a-4-1	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0364		L096b-6-1	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0365		L096b-6-1	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0366		L096b-6-1	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0367		L096b-6-1	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0368		L096b-6-1	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0369		L096b-6-1	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0370		L096b-6-1	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0371		L096a	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0372		L096a	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	Excluded
ySAK0373		L096a	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0374		L096a	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0375		L096b	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0376		L096b	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0377		L096b	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0378		L096b	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0379		L098	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0380		L098	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0381		L098	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0382		L102	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	Excluded
ySAK0383		L102	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0384		L102	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0385		L102	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0386		L102a	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0387		L102a	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0388		L102a	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0389		S002	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0390		S002	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0391		S002	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0392		S002	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0393		S028	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0394		S028	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0395		S028	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0396		S028	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0397		S121	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	Excluded
ySAK0398		S121	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0399		S121	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0400		S121	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0401		S121	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0402		L041-8-2	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0403		L041-8-2	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0404		L041-8-2	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0405		L041-8-2	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0406		L041-8-2	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0052		DivAnc	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0407		DivAnc	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0053		L003	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0054		L003	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0408		L003	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	Excluded
ySAK0409		L013	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0410		L013	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	Excluded
ySAK0411		L041	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0412		L041	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	Excluded
ySAK0413		L048	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0414		L048	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0415		L048	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0416		L048	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0055		L094	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0056		L094	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0417		L094	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0418		L013-8-1	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0419		L013-8-1	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0420		L013-8-1	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0421		L096a-4-1	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0422		L096b-6-1	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0423		L096b-6-1	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0424		L096b-6-1	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0425		L096b-6-1	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0426		L096a	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0427		L096a	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0428		L096a	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0429		L096a	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0430		L096a	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0431		L096b	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0432		L096b	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0433		L098	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0434		L098	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0435		L102	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0436		L102	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0437		L102a	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0438		L102a	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0439		S002	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0440		S002	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	Excluded
ySAK0441		S002	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0442		S028	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0443		S028	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0444		S028	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	Excluded
ySAK0445		S121	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0446		S121	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	
ySAK0447		L041-8-2	Same as DivAnc and ho∆::KanMX	ho∆ knock-out	Excluded
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
