		0 Gen				250 Gen				500 Gen			
L096b	8	1.42	0.92	1.17	0.25	1.97	2.91	2.44	0.47	6.77	2.93	4.85	1.92
L096a	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L096a	10	-0.67	0.33	-0.17	0.50	2.03	0.92	1.48	0.56	4.70	1.31	3.00	1.69
L096b	11	-0.05	1.02	0.48	0.54	1.45	0.89	1.17	0.28	4.91	3.64	4.28	0.63
L096a	12	nan	-0.01	-0.01	0.00	2.65	2.55	2.60	0.05	3.95	3.39	3.67	0.28
L103	1	1.04	1.10	1.07	0.03	5.09	5.19	5.14	0.05	7.70	8.43	8.06	0.37
L103	2	-0.48	0.25	-0.11	0.36	2.50	2.29	2.39	0.11	6.74	5.50	6.12	0.62
L103	3	-0.55	0.29	-0.13	0.42	4.84	2.70	3.77	1.07	6.22	5.24	5.73	0.49
L103	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L103	5	-3.22	-0.64	-1.93	1.29	4.64	2.68	3.66	0.98	5.46	8.87	7.17	1.70
L103	6	-1.36	0.25	-0.56	0.80	2.92	4.65	3.79	0.87	4.72	6.33	5.53	0.81
L103	7	0.85	1.34	1.10	0.24	2.26	3.41	2.84	0.58	4.42	7.76	6.09	1.67
L103	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L103	9	-2.89	0.68	-1.10	1.78	2.00	1.68	1.84	0.16	4.61	0.46	2.53	2.07
L103	10	-2.72	0.75	-0.99	1.74	4.13	1.71	2.92	1.21	5.60	8.03	6.82	1.21
L103	11	-1.64	-1.45	-1.54	0.09	2.17	0.10	1.13	1.04	7.32	4.74	6.03	1.29
L103	12	-1.87	0.45	-0.71	1.16	5.13	2.97	4.05	1.08	11.78	11.74	11.76	0.02
L003	1	-1.92	-0.82	-1.37	0.55	-0.31	-0.59	-0.45	0.14	5.78	7.34	6.56	0.78
L003	2	-2.28	-5.17	-3.72	1.45	5.14	3.48	4.31	0.83	5.04	4.89	4.97	0.08
L003	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L003	4	-3.21	-3.17	-3.19	0.02	-1.59	-0.30	-0.94	0.65	8.58	6.84	7.71	0.87
L003	5	-3.91	-4.66	-4.28	0.37	5.78	5.35	5.57	0.22	4.43	4.79	4.61	0.18
L003	6	-4.50	-3.37	-3.94	0.57	-1.64	-1.88	-1.76	0.12	6.76	6.59	6.68	0.09
L003	7	-2.63	-5.63	-4.13	1.50	5.80	4.16	4.98	0.82	4.67	5.48	5.07	0.40
L003	8	-3.36	-4.62	-3.99	0.63	5.33	5.41	5.37	0.04	6.44	7.05	6.75	0.30
L003	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L003	10	-4.93	-2.63	-3.78	1.15	4.70	5.12	4.91	0.21	4.03	3.42	3.73	0.31
L003	11	-4.38	-0.89	-2.64	1.74	4.02	5.34	4.68	0.66	11.33	11.01	11.17	0.16
L003	12	nan	nan	nan	nan	nan	0.05	0.05	0.00	10.59	10.48	10.53	0.05
L010	1	-0.88	0.03	-0.43	0.46	1.24	0.26	0.75	0.49	6.26	5.07	5.67	0.60
L010	2	-2.91	-2.83	-2.87	0.04	6.91	4.75	5.83	1.08	6.92	6.71	6.81	0.11
L010	3	-2.93	-3.79	-3.36	0.43	-0.76	-2.24	-1.50	0.74	5.14	5.99	5.56	0.42
L010	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L010	5	-3.12	-2.87	-2.99	0.13	6.30	5.47	5.89	0.42	7.44	7.80	7.62	0.18
L010	6	-3.68	-1.89	-2.78	0.89	-2.73	-3.90	-3.32	0.59	3.38	3.06	3.22	0.16
L010	7	-1.58	-4.21	-2.90	1.31	3.77	3.52	3.64	0.12	9.01	7.62	8.31	0.69
L010	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L010	9	-2.49	-4.57	-3.53	1.04	-1.89	-2.62	-2.26	0.36	3.04	2.21	2.62	0.41
L010	10	-2.61	-4.04	-3.33	0.72	3.92	0.67	2.29	1.63	8.04	8.35	8.20	0.15
L010	11	-11.05	-11.93	-11.49	0.44	-0.47	-5.46	-2.97	2.49	6.71	4.99	5.85	0.86
L010	12	nan	nan	nan	nan	nan	nan	nan	nan	7.72	11.83	9.77	2.06
L021	1	-2.91	-1.27	-2.09	0.82	4.97	5.00	4.99	0.01	9.08	9.70	9.39	0.31
L021	2	-3.44	-4.65	-4.04	0.61	3.44	2.97	3.21	0.23	3.62	3.40	3.51	0.11
L021	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L021	4	-2.33	-4.16	-3.24	0.91	-3.62	-3.96	-3.79	0.17	4.88	3.62	4.25	0.63
L021	5	-1.45	-3.52	-2.49	1.03	-1.14	-2.39	-1.76	0.62	5.59	5.26	5.43	0.17
L021	6	-4.70	-1.85	-3.28	1.43	2.22	2.15	2.19	0.04	5.23	5.60	5.42	0.19
L021	7	-2.37	-4.62	-3.50	1.12	5.44	4.05	4.74	0.69	4.41	4.12	4.27	0.14
L021	8	-3.24	-1.89	-2.57	0.67	-2.25	-2.71	-2.48	0.23	4.58	4.24	4.41	0.17
L021	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L021	10	-2.17	-4.07	-3.12	0.95	-2.86	-2.70	-2.78	0.08	5.57	5.59	5.58	0.01
L021	11	-2.25	-4.93	-3.59	1.34	9.93	7.53	8.73	1.20	5.19	6.78	5.99	0.80
L021	12	nan	nan	nan	nan	nan	nan	nan	nan	16.02	13.52	14.77	1.25
L069	1	-2.47	-0.21	-1.34	1.13	7.94	7.92	7.93	0.01	8.55	6.77	7.66	0.89
L069	2	-5.15	-2.26	-3.71	1.44	1.84	0.67	1.26	0.59	5.31	4.49	4.90	0.41
L069	3	-3.40	-4.78	-4.09	0.69	-4.97	-2.24	-3.61	1.36	5.28	4.78	5.03	0.25
L069	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L069	5	-4.40	-3.22	-3.81	0.59	-2.72	-3.02	-2.87	0.15	3.21	4.41	3.81	0.60
L069	6	-4.68	-1.81	-3.25	1.44	2.74	1.66	2.20	0.54	5.84	7.01	6.42	0.59
L069	7	-2.93	-4.29	-3.61	0.68	2.68	2.82	2.75	0.07	4.80	6.03	5.41	0.61
L069	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L069	9	-2.41	-3.28	-2.84	0.44	4.34	3.66	4.00	0.34	8.73	9.09	8.91	0.18
L069	10	-3.54	-2.21	-2.88	0.66	0.98	0.32	0.65	0.33	5.36	5.18	5.27	0.09
L069	11	-1.74	-3.97	-2.85	1.12	2.51	1.14	1.82	0.68	5.33	5.63	5.48	0.15
L069	12	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L076	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L076	2	-3.56	-3.09	-3.32	0.23	7.16	6.54	6.85	0.31	6.89	4.36	5.63	1.26
L076	3	-3.15	-2.67	-2.91	0.24	-2.62	-0.54	-1.58	1.04	5.47	4.74	5.11	0.37
L076	4	-4.26	-0.82	-2.54	1.72	7.05	5.17	6.11	0.94	6.39	5.18	5.79	0.60
L076	5	-2.47	-0.62	-1.54	0.93	4.24	2.62	3.43	0.81	10.83	9.48	10.16	0.68
L076	6	-3.02	-2.84	-2.93	0.09	2.54	1.87	2.21	0.33	4.00	3.91	3.95	0.04
L076	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L076	8	-1.74	-1.49	-1.62	0.12	4.22	2.60	3.41	0.81	6.26	8.10	7.18	0.92
L076	9	-2.48	-5.45	-3.97	1.49	5.74	4.83	5.28	0.45	6.38	6.97	6.67	0.29
L076	10	-4.06	-4.68	-4.37	0.31	-2.45	-1.95	-2.20	0.25	3.74	4.38	4.06	0.32
L076	11	-10.85	-12.69	-11.77	0.92	-8.75	-10.57	-9.66	0.91	2.59	1.14	1.86	0.73
L076	12	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L093	1	-2.91	0.16	-1.38	1.54	-0.64	-0.09	-0.37	0.28	6.55	6.56	6.56	0.01
L093	2	-3.11	-2.20	-2.65	0.45	0.20	-0.10	0.05	0.15	7.56	4.30	5.93	1.63
L093	3	-3.49	-1.15	-2.32	1.17	5.87	3.48	4.67	1.20	9.20	9.01	9.11	0.10
L093	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L093	5	-4.16	-2.22	-3.19	0.97	6.82	4.90	5.86	0.96	8.89	8.69	8.79	0.10
L093	6	-4.86	-1.22	-3.04	1.82	3.65	3.28	3.47	0.19	5.60	6.23	5.91	0.31
L093	7	-3.18	-4.75	-3.96	0.79	-0.68	-0.95	-0.81	0.13	7.06	4.20	5.63	1.43
L093	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L093	9	-0.97	-2.48	-1.73	0.75	-1.98	-1.03	-1.50	0.48	2.74	12.85	7.80	5.05
L093	10	-0.79	-2.56	-1.68	0.89	0.53	-1.57	-0.52	1.05	6.39	7.91	7.15	0.76
L093	11	-4.98	-5.37	-5.17	0.19	1.22	-2.81	-0.79	2.02	5.35	4.85	5.10	0.25
L093	12	nan	nan	nan	nan	nan	nan	nan	nan	4.88	2.57	3.72	1.16
L110	1	-4.76	-0.38	-2.57	2.19	-0.71	-0.88	-0.80	0.09	4.55	4.36	4.45	0.09
L110	2	-3.89	-2.83	-3.36	0.53	6.22	3.41	4.81	1.40	7.17	6.37	6.77	0.40
L110	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L110	4	-2.36	-1.57	-1.96	0.39	1.78	-0.11	0.83	0.95	9.69	7.48	8.58	1.10
L110	5	-3.20	-1.56	-2.38	0.82	-0.04	2.73	1.35	1.39	9.41	10.05	9.73	0.32
L110	6	-3.81	-1.77	-2.79	1.02	-2.65	-1.07	-1.86	0.79	4.59	4.95	4.77	0.18
L110	7	-2.31	-1.69	-2.00	0.31	6.60	7.04	6.82	0.22	8.37	9.05	8.71	0.34
L110	8	-2.19	-1.44	-1.81	0.38	3.47	3.93	3.70	0.23	7.50	9.97	8.74	1.24
L110	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L110	10	-2.60	-2.69	-2.65	0.05	-3.65	-1.42	-2.54	1.11	2.55	1.13	1.84	0.71
L110	11	-3.86	-2.52	-3.19	0.67	3.97	3.71	3.84	0.13	5.29	4.36	4.83	0.46
L110	12	nan	nan	nan	nan	nan	nan	nan	nan	6.59	8.07	7.33	0.74
L125	1	-10.22	-3.67	-6.95	3.27	-3.77	-3.35	-3.56	0.21	4.21	3.53	3.87	0.34
L125	2	-9.47	-9.37	-9.42	0.05	1.97	2.00	1.99	0.02	5.33	5.96	5.65	0.32
L125	3	-7.85	-10.46	-9.15	1.30	1.79	0.77	1.28	0.51	2.73	2.44	2.59	0.15
L125	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L125	5	-11.16	-6.31	-8.73	2.42	1.42	0.74	1.08	0.34	2.43	2.83	2.63	0.20
L125	6	-9.78	-8.56	-9.17	0.61	-2.54	-1.03	-1.78	0.76	2.92	2.65	2.79	0.14
L125	7	-9.82	-9.17	-9.50	0.33	-3.85	-3.43	-3.64	0.21	-3.81	-12.62	-8.21	4.41
L125	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L125	9	-9.62	-7.19	-8.40	1.22	-3.53	-5.46	-4.49	0.97	2.41	-0.31	1.05	1.36
L125	10	-6.14	-14.48	-10.31	4.17	2.07	3.09	2.58	0.51	2.17	6.82	4.50	2.33
L125	11	-10.62	-11.24	-10.93	0.31	-2.45	-2.00	-2.22	0.22	0.01	-0.01	0.00	0.01
L125	12	nan	nan	nan	nan	nan	nan	nan	nan	2.50	4.23	3.36	0.86
S025	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S025	2	-0.55	-1.15	-0.85	0.30	2.86	0.96	1.91	0.95	6.98	5.20	6.09	0.89
S025	3	-0.37	-1.64	-1.00	0.63	2.32	-1.80	0.26	2.06	2.75	2.49	2.62	0.13
S025	4	0.17	-1.04	-0.44	0.61	2.61	1.56	2.09	0.53	3.48	4.92	4.20	0.72
S025	5	0.30	-1.41	-0.55	0.85	4.09	0.90	2.50	1.59	3.53	5.56	4.54	1.01
S025	6	0.33	-1.40	-0.53	0.87	2.87	-0.14	1.36	1.51	5.06	4.00	4.53	0.53
S025	7	0.88	-1.46	-0.29	1.17	6.83	6.25	6.54	0.29	5.55	10.44	7.99	2.44
S025	8	0.66	-1.83	-0.59	1.24	2.66	0.44	1.55	1.11	2.88	7.18	5.03	2.15
S025	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S025	10	-2.23	-2.68	-2.45	0.23	4.62	2.83	3.73	0.90	1.49	16.04	8.76	7.27
S025	11	-0.38	-0.58	-0.48	0.10	2.02	1.49	1.75	0.26	4.82	5.87	5.34	0.52
S025	12	-2.11	-3.55	-2.83	0.72	0.93	-2.92	-0.99	1.93	3.79	3.81	3.80	0.01
S039	1	0.72	0.79	0.76	0.04	2.41	-0.16	1.13	1.29	4.15	6.47	5.31	1.16
S039	2	0.39	-0.61	-0.11	0.50	3.76	3.22	3.49	0.27	4.07	5.67	4.87	0.80
S039	3	-1.00	-0.95	-0.97	0.03	0.85	-2.10	-0.63	1.47	6.23	7.25	6.74	0.51
S039	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S039	5	-2.61	-1.50	-2.06	0.56	2.56	1.53	2.04	0.52	5.52	7.70	6.61	1.09
S039	6	-0.60	-0.84	-0.72	0.12	0.80	-1.02	-0.11	0.91	6.65	6.86	6.75	0.11
S039	7	-0.28	-0.97	-0.62	0.35	2.57	1.35	1.96	0.61	6.76	7.82	7.29	0.53
S039	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S039	9	-0.02	-2.53	-1.28	1.25	1.46	2.04	1.75	0.29	5.07	3.60	4.33	0.74
S039	10	-0.83	-1.98	-1.41	0.57	4.08	0.76	2.42	1.66	5.52	6.19	5.85	0.33
S039	11	-2.19	-3.46	-2.82	0.64	0.03	0.33	0.18	0.15	3.32	3.13	3.22	0.09
S039	12	-0.60	-2.50	-1.55	0.95	-1.11	-2.11	-1.61	0.50	0.69	12.73	6.71	6.02
S040	1	-2.34	-1.52	-1.93	0.41	1.67	0.75	1.21	0.46	7.22	10.84	9.03	1.81
S040	2	-0.48	-2.13	-1.31	0.83	3.70	2.41	3.05	0.64	4.57	5.65	5.11	0.54
S040	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S040	4	-2.84	-2.82	-2.83	0.01	0.39	-1.80	-0.70	1.10	5.15	4.02	4.58	0.57
S040	5	-3.34	-2.89	-3.12	0.22	2.21	-0.50	0.85	1.35	7.22	7.61	7.41	0.20
S040	6	-3.19	-3.37	-3.28	0.09	3.62	4.09	3.85	0.23	3.12	4.19	3.66	0.53
S040	7	-1.58	-3.48	-2.53	0.95	3.28	2.44	2.86	0.42	5.64	4.95	5.29	0.35
S040	8	-1.62	-3.25	-2.44	0.81	2.01	0.87	1.44	0.57	8.37	10.41	9.39	1.02
S040	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S040	10	-4.04	-4.35	-4.19	0.15	-2.26	-0.54	-1.40	0.86	6.00	7.84	6.92	0.92
S040	11	-1.80	-4.08	-2.94	1.14	6.09	4.08	5.09	1.01	4.39	7.94	6.16	1.77
S040	12	-0.92	-5.57	-3.24	2.32	1.06	-2.16	-0.55	1.61	5.87	3.32	4.59	1.27
S097	1	-1.70	-0.65	-1.18	0.53	6.92	6.39	6.65	0.26	9.53	11.75	10.64	1.11
S097	2	-0.07	-1.12	-0.59	0.52	1.93	0.40	1.16	0.76	5.06	6.58	5.82	0.76
S097	3	0.11	-0.91	-0.40	0.51	2.85	2.36	2.61	0.24	3.20	2.68	2.94	0.26
S097	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S097	5	-1.09	-1.85	-1.47	0.38	1.39	1.84	1.62	0.22	3.01	3.85	3.43	0.42
S097	6	-0.72	-2.48	-1.60	0.88	-1.34	0.63	-0.35	0.98	4.30	5.24	4.77	0.47
S097	7	-0.70	-1.21	-0.96	0.26	0.23	-1.94	-0.85	1.09	6.78	5.84	6.31	0.47
S097	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S097	9	-0.66	-1.33	-1.00	0.33	6.56	6.13	6.35	0.22	6.43	9.28	7.85	1.42
S097	10	-1.88	-3.91	-2.89	1.02	1.41	1.26	1.33	0.07	4.57	5.62	5.10	0.53
S097	11	-1.14	-4.29	-2.71	1.57	0.70	-0.13	0.29	0.41	2.94	3.72	3.33	0.39
S097	12	0.52	-2.04	-0.76	1.28	2.86	-0.25	1.30	1.55	3.07	6.13	4.60	1.53
S104	1	-3.02	-5.77	-4.39	1.37	0.22	-0.89	-0.33	0.56	7.84	7.64	7.74	0.10
S104	2	-4.91	-6.46	-5.68	0.77	1.20	0.78	0.99	0.21	4.77	8.48	6.63	1.85
S104	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S104	4	-3.67	-4.47	-4.07	0.40	0.62	-1.71	-0.55	1.17	4.41	5.61	5.01	0.60
S104	5	-4.77	-6.01	-5.39	0.62	4.41	2.80	3.60	0.80	2.91	3.78	3.35	0.44
S104	6	-1.74	-4.14	-2.94	1.20	8.38	6.67	7.52	0.86	5.86	3.85	4.86	1.01
S104	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S104	8	-2.86	-6.48	-4.67	1.81	0.58	-1.83	-0.63	1.21	3.81	4.01	3.91	0.10
S104	9	-2.84	-7.60	-5.22	2.38	0.40	-0.16	0.12	0.28	4.11	4.53	4.32	0.21
S104	10	-2.60	-8.23	-5.42	2.82	2.23	2.80	2.51	0.29	1.68	4.12	2.90	1.22
S104	11	-3.44	-6.60	-5.02	1.58	-2.15	-1.98	-2.06	0.08	3.13	3.23	3.18	0.05
S104	12	-3.16	-6.41	-4.79	1.62	3.86	2.01	2.93	0.93	1.47	5.82	3.64	2.18
S114	1	0.66	-3.03	-1.18	1.84	3.49	3.57	3.53	0.04	2.87	4.33	3.60	0.73
S114	2	-0.10	-3.04	-1.57	1.47	4.36	3.22	3.79	0.57	5.37	4.92	5.14	0.22
S114	3	-0.20	-2.63	-1.41	1.21	-0.38	-1.84	-1.11	0.73	0.58	3.20	1.89	1.31
S114	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S114	5	-2.05	-3.33	-2.69	0.64	-2.25	-3.16	-2.70	0.46	4.11	2.43	3.27	0.84
S114	6	-1.26	-5.10	-3.18	1.92	1.07	2.17	1.62	0.55	4.60	4.07	4.34	0.26
S114	7	-0.18	-2.78	-1.48	1.30	3.90	4.07	3.98	0.09	7.16	4.99	6.08	1.09
S114	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S114	9	-0.69	-3.06	-1.88	1.19	-1.08	-2.69	-1.88	0.81	8.63	5.33	6.98	1.65
S114	10	-0.26	-5.90	-3.08	2.82	3.31	3.13	3.22	0.09	4.24	5.23	4.74	0.49
S114	11	-2.20	-5.11	-3.66	1.45	-2.67	-2.46	-2.57	0.10	1.61	3.16	2.38	0.77
S114	12	-0.34	-4.59	-2.46	2.12	-0.91	-3.78	-2.34	1.44	4.92	5.98	5.45	0.53
S121	1	0.41	-2.84	-1.22	1.62	1.24	-0.27	0.49	0.76	3.52	2.29	2.90	0.61
S121	2	-0.37	-2.19	-1.28	0.91	1.18	-1.84	-0.33	1.51	3.84	1.96	2.90	0.94
S121	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S121	4	-0.36	-1.58	-0.97	0.61	7.48	6.99	7.24	0.25	5.19	6.50	5.85	0.66
S121	5	-1.92	-6.19	-4.05	2.14	-1.57	-3.63	-2.60	1.03	8.10	8.22	8.16	0.06
S121	6	-1.77	-4.55	-3.16	1.39	2.34	1.95	2.15	0.20	5.85	5.75	5.80	0.05
S121	7	0.10	-3.48	-1.69	1.79	0.91	1.47	1.19	0.28	8.61	9.01	8.81	0.20
S121	8	-2.86	-6.09	-4.48	1.61	-2.03	-3.36	-2.69	0.66	-0.67	-2.13	-1.40	0.73
S121	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S121	10	-0.82	-2.94	-1.88	1.06	-1.83	-2.32	-2.07	0.24	4.72	4.59	4.66	0.07
S121	11	-0.64	-3.14	-1.89	1.25	1.85	0.08	0.96	0.89	1.19	5.37	3.28	2.09
S121	12	0.09	-3.22	-1.57	1.66	-0.51	-1.69	-1.10	0.59	2.97	5.04	4.01	1.03
S126	1	-1.62	-3.21	-2.41	0.79	4.08	2.66	3.37	0.71	8.44	7.68	8.06	0.38
S126	2	-2.68	-3.73	-3.21	0.52	5.12	4.80	4.96	0.16	3.63	4.76	4.20	0.57
S126	3	-0.77	-3.00	-1.89	1.12	-1.17	-2.15	-1.66	0.49	3.28	1.19	2.23	1.04
S126	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S126	5	-3.07	-4.72	-3.89	0.82	-0.95	-2.17	-1.56	0.61	3.08	0.82	1.95	1.13
S126	6	-1.31	-3.65	-2.48	1.17	2.84	3.33	3.09	0.24	4.64	12.50	8.57	3.93
S126	7	-1.35	-1.70	-1.53	0.18	-0.21	-1.24	-0.73	0.52	2.70	6.61	4.66	1.95
S126	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S126	9	-2.23	-3.46	-2.84	0.62	4.57	4.29	4.43	0.14	5.32	3.80	4.56	0.76
S126	10	-2.39	-5.70	-4.05	1.65	5.08	5.28	5.18	0.10	3.82	5.93	4.88	1.05
S126	11	-2.43	-4.46	-3.45	1.02	5.81	3.55	4.68	1.13	5.71	5.92	5.81	0.11
S126	12	-3.60	-6.07	-4.84	1.23	-0.40	-0.76	-0.58	0.18	7.11	6.44	6.78	0.33
S002	1	3.21	3.46	3.33	0.13	4.83	3.54	4.19	0.64	7.26	6.49	6.88	0.39
S002	2	0.70	1.57	1.13	0.44	8.25	8.00	8.13	0.12	9.54	7.94	8.74	0.80
S002	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S002	4	2.59	2.47	2.53	0.06	8.41	4.95	6.68	1.73	3.39	6.60	5.00	1.61
S002	5	1.80	1.75	1.78	0.03	7.13	5.74	6.44	0.70	8.35	7.22	7.78	0.57
S002	6	2.17	2.64	2.40	0.24	5.34	4.05	4.69	0.64	7.24	6.58	6.91	0.33
S002	7	3.11	2.57	2.84	0.27	5.76	4.95	5.36	0.41	8.24	7.45	7.85	0.40
S002	8	2.28	0.61	1.45	0.83	5.48	4.11	4.80	0.68	7.87	5.61	6.74	1.13
S002	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S002	10	2.02	0.68	1.35	0.67	5.22	3.91	4.57	0.65	3.42	20.04	11.73	8.31
S002	11	2.25	2.00	2.13	0.13	3.93	3.91	3.92	0.01	2.84	3.39	3.11	0.27
S002	12	2.79	0.35	1.57	1.22	7.28	6.99	7.14	0.15	9.83	9.81	9.82	0.01
S016	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S016	2	-2.36	-1.09	-1.73	0.64	-0.49	-1.44	-0.97	0.47	2.35	7.65	5.00	2.65
S016	3	-1.76	-1.29	-1.53	0.24	-0.15	-0.21	-0.18	0.03	0.75	0.14	0.45	0.30
S016	4	0.76	1.44	1.10	0.34	3.91	3.06	3.48	0.43	5.90	7.49	6.70	0.79
S016	5	1.10	0.65	0.88	0.22	3.55	1.64	2.60	0.96	4.73	4.13	4.43	0.30
S016	6	-0.92	0.76	-0.08	0.84	1.52	0.25	0.88	0.63	4.67	5.18	4.92	0.25
S016	7	-0.89	0.34	-0.28	0.61	5.53	3.79	4.66	0.87	4.89	1.71	3.30	1.59
S016	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S016	9	-1.13	-1.04	-1.08	0.05	2.42	1.83	2.12	0.30	4.99	3.98	4.49	0.50
S016	10	0.06	-1.16	-0.55	0.61	-0.12	-0.48	-0.30	0.18	0.53	-0.37	0.08	0.45
S016	11	-0.91	-2.24	-1.58	0.67	-1.62	-1.46	-1.54	0.08	0.80	2.15	1.48	0.67
S016	12	0.74	-0.90	-0.08	0.82	3.65	2.98	3.32	0.34	2.90	12.01	7.46	4.55
S023	1	0.64	0.92	0.78	0.14	6.60	6.05	6.32	0.28	5.88	8.92	7.40	1.52
S023	2	0.16	1.58	0.87	0.71	1.83	1.47	1.65	0.18	5.32	4.65	4.99	0.34
S023	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S023	4	-0.07	0.72	0.33	0.39	2.90	2.52	2.71	0.19	7.06	7.09	7.08	0.02
S023	5	-0.73	-1.06	-0.89	0.16	2.68	2.43	2.55	0.12	3.24	3.46	3.35	0.11
S023	6	-0.47	-0.73	-0.60	0.13	1.70	1.50	1.60	0.10	6.46	5.17	5.82	0.65
S023	7	-0.40	0.23	-0.08	0.31	0.43	1.16	0.79	0.37	3.83	2.63	3.23	0.60
S023	8	-0.25	-0.64	-0.45	0.19	0.33	-0.60	-0.14	0.47	8.02	8.61	8.31	0.30
S023	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S023	10	-1.98	-0.95	-1.47	0.51	2.65	2.53	2.59	0.06	4.05	4.67	4.36	0.31
S023	11	0.02	-1.27	-0.62	0.64	0.01	-0.35	-0.17	0.18	4.06	2.95	3.50	0.56
S023	12	1.13	0.09	0.61	0.52	1.51	0.15	0.83	0.68	6.05	5.96	6.00	0.04
S024	1	0.04	-0.05	-0.01	0.04	3.65	2.33	2.99	0.66	3.42	5.37	4.39	0.97
S024	2	-1.40	-0.80	-1.10	0.30	2.41	1.35	1.88	0.53	5.08	4.50	4.79	0.29
S024	3	-0.82	-0.20	-0.51	0.31	2.96	2.89	2.93	0.04	6.17	5.81	5.99	0.18
S024	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S024	5	-1.36	-0.38	-0.87	0.49	1.41	1.67	1.54	0.13	4.11	3.33	3.72	0.39
S024	6	-0.18	0.34	0.08	0.26	5.47	-0.81	2.33	3.14	3.96	3.82	3.89	0.07
S024	7	-2.45	-0.53	-1.49	0.96	4.68	3.33	4.01	0.68	0.80	3.55	2.18	1.38
S024	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S024	9	-1.15	-1.45	-1.30	0.15	2.66	1.79	2.22	0.43	4.47	5.59	5.03	0.56
S024	10	-1.02	-2.67	-1.84	0.82	0.84	0.29	0.56	0.28	4.40	4.61	4.51	0.11
S024	11	-0.39	-2.82	-1.60	1.22	3.83	3.56	3.70	0.14	6.46	6.84	6.65	0.19
S024	12	-0.90	-0.84	-0.87	0.03	5.01	3.26	4.14	0.88	3.74	4.42	4.08	0.34
S036	1	-0.99	-2.39	-1.69	0.70	2.78	0.40	1.59	1.19	0.38	6.24	3.31	2.93
S036	2	-3.14	-5.16	-4.15	1.01	-0.98	-0.86	-0.92	0.06	5.92	3.28	4.60	1.32
S036	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S036	4	-2.20	-0.94	-1.57	0.63	3.20	2.81	3.00	0.19	6.29	6.18	6.24	0.06
